group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G11,Product_Mix_x_System,balanced_system_01,df_process,IND01,0.09,0.1,0.0,2.39,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_resource,IND02,34.07,19.18,6.98,55.81,12.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND03,11.52,12.53,0.11,315.15,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_product,IND04,532.15,388.46,144.0,1818.0,160.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,economic_score,0.35,0.0,0.34,0.35,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,environmental_score,0.17,0.02,0.14,0.19,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,rank,18.0,1.0,17.0,19.0,3.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,rank_all,26.25,3.5,22.0,30.0,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_01,df_experiments,total_weighted_score,0.51,0.02,0.49,0.53,4.0,4,system_01,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND01,0.08,0.05,0.0,0.2,1640.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_resource,IND02,24.75,4.5,17.57,33.86,16.0,4,system_02,balanced,,,,,,
G11,Product_Mix_x_System,balanced_system_02,df_process,IND03,11.16,6.66,0.11,25.85,1640.0,4,system_02,balanced,,,,,,
