group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G02,By Variability (Product Mix),rear,df_process,IND05,2084.88,2117.22,365.0,9565.0,5440.0,16,,rear,,,,,,1.0
G02,By Variability (Product Mix),rear,df_process,IND06,74.57,96.93,2.44,336.0,5440.0,16,,rear,,,,,,0.58
G02,By Variability (Product Mix),sa_rd,df_process,IND01,0.09,0.05,0.0,0.2,6080.0,16,,sa_rd,,,,,,0.53
G02,By Variability (Product Mix),sa_rd,df_resource,IND02,22.62,13.75,1.95,56.02,68.0,16,,sa_rd,,,,,,0.18
G02,By Variability (Product Mix),sa_rd,df_process,IND03,11.69,6.59,0.11,25.85,6080.0,16,,sa_rd,,,,,,0.51
G02,By Variability (Product Mix),sa_rd,df_product,IND04,388.89,255.63,144.0,1658.0,640.0,16,,sa_rd,,,,,,0.04
G02,By Variability (Product Mix),sa_rd,df_process,IND05,1897.92,1672.17,0.0,9565.0,6080.0,16,,sa_rd,,,,,,0.07
G02,By Variability (Product Mix),sa_rd,df_process,IND06,68.66,83.83,0.0,336.0,6080.0,16,,sa_rd,,,,,,0.08
G03,By Automation Degree,0.0,df_process,IND01,0.1,0.09,0.0,3.93,10441.0,24,,,0.0,,,,,
G03,By Automation Degree,0.0,df_resource,IND02,30.4,17.28,2.81,85.43,100.0,24,,,0.0,,,,,
G03,By Automation Degree,0.0,df_process,IND03,13.45,12.36,0.11,518.87,10441.0,24,,,0.0,,,,,
G03,By Automation Degree,0.0,df_product,IND04,644.79,834.2,159.0,6004.0,960.0,24,,,0.0,,,,,
G03,By Automation Degree,0.0,df_process,IND05,1975.73,1651.98,0.0,9565.0,10441.0,24,,,0.0,,,,,
G03,By Automation Degree,0.0,df_process,IND06,73.9,86.35,0.0,336.0,10441.0,24,,,0.0,,,,,
G03,By Automation Degree,0.29,df_process,IND01,0.09,0.12,0.0,3.93,2477.0,4,,,0.29,,,,,
G03,By Automation Degree,0.29,df_resource,IND02,39.7,18.25,19.81,85.95,17.0,4,,,0.29,,,,,
G03,By Automation Degree,0.29,df_process,IND03,12.59,15.91,0.11,518.98,2477.0,4,,,0.29,,,,,
G03,By Automation Degree,0.29,df_product,IND04,1813.69,1919.3,272.0,7404.0,160.0,4,,,0.29,,,,,
G03,By Automation Degree,0.29,df_process,IND05,2039.91,1475.15,365.0,4870.0,2477.0,4,,,0.29,,,,,
G03,By Automation Degree,0.29,df_process,IND06,79.52,86.41,2.44,280.4,2477.0,4,,,0.29,,,,,
G03,By Automation Degree,0.33,df_process,IND01,0.09,0.12,0.0,3.93,2080.0,4,,,0.33,,,,,
G03,By Automation Degree,0.33,df_resource,IND02,30.59,15.35,12.38,64.52,17.0,4,,,0.33,,,,,
G03,By Automation Degree,0.33,df_process,IND03,11.55,15.27,0.11,518.98,2080.0,4,,,0.33,,,,,
G03,By Automation Degree,0.33,df_product,IND04,559.74,492.6,144.0,2040.0,160.0,4,,,0.33,,,,,
G03,By Automation Degree,0.33,df_process,IND05,1947.15,1396.85,0.0,4870.0,2080.0,4,,,0.33,,,,,
G03,By Automation Degree,0.33,df_process,IND06,75.05,82.04,0.0,280.4,2080.0,4,,,0.33,,,,,
G03,By Automation Degree,0.4,df_process,IND01,0.09,0.08,0.0,2.39,1640.0,4,,,0.4,,,,,
G03,By Automation Degree,0.4,df_resource,IND02,24.64,13.67,5.62,55.81,17.0,4,,,0.4,,,,,
G03,By Automation Degree,0.4,df_process,IND03,11.8,10.63,0.11,315.15,1640.0,4,,,0.4,,,,,
G03,By Automation Degree,0.4,df_product,IND04,399.4,266.86,144.0,1806.0,160.0,4,,,0.4,,,,,
G03,By Automation Degree,0.4,df_process,IND05,1987.68,1717.74,0.0,9565.0,1640.0,4,,,0.4,,,,,
G03,By Automation Degree,0.4,df_process,IND06,74.0,87.53,0.0,336.0,1640.0,4,,,0.4,,,,,
G03,By Automation Degree,0.46,df_process,IND01,0.09,0.06,0.0,0.2,1520.0,4,,,0.46,,,,,
G03,By Automation Degree,0.46,df_resource,IND02,23.78,14.93,2.81,56.02,17.0,4,,,0.46,,,,,
G03,By Automation Degree,0.46,df_process,IND03,12.29,7.59,0.11,25.85,1520.0,4,,,0.46,,,,,
G03,By Automation Degree,0.46,df_product,IND04,430.44,328.8,144.0,1658.0,160.0,4,,,0.46,,,,,
G03,By Automation Degree,0.46,df_process,IND05,1897.92,1672.58,0.0,9565.0,1520.0,4,,,0.46,,,,,
G03,By Automation Degree,0.46,df_process,IND06,68.66,83.85,0.0,336.0,1520.0,4,,,0.46,,,,,
G03,By Automation Degree,0.48,df_process,IND01,0.08,0.05,0.0,0.18,1340.0,4,,,0.48,,,,,
G03,By Automation Degree,0.48,df_resource,IND02,20.12,10.43,4.95,40.24,16.0,4,,,0.48,,,,,
G03,By Automation Degree,0.48,df_process,IND03,11.1,6.73,0.11,23.98,1340.0,4,,,0.48,,,,,
G03,By Automation Degree,0.48,df_product,IND04,316.36,102.87,144.0,635.0,160.0,4,,,0.48,,,,,
G03,By Automation Degree,0.48,df_process,IND05,1883.16,1682.51,0.0,9565.0,1340.0,4,,,0.48,,,,,
G03,By Automation Degree,0.48,df_process,IND06,67.67,82.44,0.0,336.0,1340.0,4,,,0.48,,,,,
