group_id,group_name,group_level,dataframe,indicator_id,mean,std,min,max,n_observations,n_experiments,system,product_mix,automation_degree,division_type,num_stations,system_type,automation_level,mean_normalized
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_process,IND01,0.1,0.12,0.0,2.43,2583.0,6,,,,,3.0,line,a00,1.0
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_resource,IND02,43.08,24.9,4.95,85.43,18.0,6,,,,,3.0,line,a00,0.73
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_process,IND03,13.87,15.92,0.11,320.98,2583.0,6,,,,,3.0,line,a00,1.0
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_product,IND04,961.81,906.95,159.0,4735.0,240.0,6,,,,,3.0,line,a00,0.22
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_process,IND05,1981.32,1652.28,0.0,9565.0,2583.0,6,,,,,3.0,line,a00,0.49
G12,System_Type_x_Automation_x_Stations,line_a00_3,df_process,IND06,74.08,86.39,0.0,336.0,2583.0,6,,,,,3.0,line,a00,0.54
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_process,IND01,0.1,0.12,0.0,3.93,2608.0,6,,,,,5.0,line,a00,0.93
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_resource,IND02,27.36,19.64,2.81,79.52,28.0,6,,,,,5.0,line,a00,0.31
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_process,IND03,13.57,15.78,0.11,518.87,2608.0,6,,,,,5.0,line,a00,0.93
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_product,IND04,968.58,1240.16,189.0,6004.0,240.0,6,,,,,5.0,line,a00,0.22
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_process,IND05,1978.56,1654.25,0.0,9565.0,2608.0,6,,,,,5.0,line,a00,0.47
G12,System_Type_x_Automation_x_Stations,line_a00_5,df_process,IND06,74.02,86.46,0.0,336.0,2608.0,6,,,,,5.0,line,a00,0.53
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_process,IND01,0.09,0.11,0.0,2.43,2584.0,6,,,,,3.0,line,a02,0.66
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_resource,IND02,38.14,22.99,4.95,85.95,18.0,6,,,,,3.0,line,a02,0.6
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_process,IND03,12.28,14.27,0.11,320.98,2584.0,6,,,,,3.0,line,a02,0.64
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_product,IND04,836.18,890.71,144.0,4717.0,240.0,6,,,,,3.0,line,a02,0.18
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_process,IND05,1980.7,1652.26,0.0,9565.0,2584.0,6,,,,,3.0,line,a02,0.48
G12,System_Type_x_Automation_x_Stations,line_a02_3,df_process,IND06,74.06,86.38,0.0,336.0,2584.0,6,,,,,3.0,line,a02,0.54
G12,System_Type_x_Automation_x_Stations,line_a02_5,df_process,IND01,0.09,0.13,0.0,3.93,2583.0,6,,,,,5.0,line,a02,0.67
G12,System_Type_x_Automation_x_Stations,line_a02_5,df_resource,IND02,24.68,17.71,2.81,72.83,28.0,6,,,,,5.0,line,a02,0.24
G12,System_Type_x_Automation_x_Stations,line_a02_5,df_process,IND03,12.36,17.23,0.11,518.98,2583.0,6,,,,,5.0,line,a02,0.66
G12,System_Type_x_Automation_x_Stations,line_a02_5,df_product,IND04,1141.46,1604.6,169.0,7404.0,240.0,6,,,,,5.0,line,a02,0.27
