caseID,objectID,object_type,object_name,delivery_time,output_time,condition,content
1,1_RT_1,component,car_sa_RT,2025-01-01T06:00:00,2025-01-01T07:34:52,1.0,car_sa_RT
1,1_RT_2,component,car_sa_RT,2025-01-01T06:00:00,2025-01-01T08:01:28,1.0,car_sa_RT
1,1_FT_1,component,car_sa_FT,2025-01-01T06:00:00,2025-01-01T08:04:48,1.0,car_sa_FT
1,1_FT_2,component,car_sa_FT,2025-01-01T06:00:00,2025-01-01T08:13:58,1.0,car_sa_FT
1,1_SSA_1,component,car_sa_SSA,2025-01-01T06:00:00,2025-01-01T08:17:18,1.0,car_sa_SSA
1,1_SSA_2,component,car_sa_SSA,2025-01-01T06:00:00,2025-01-01T08:20:38,1.0,car_sa_SSA
2,2_BOSP_1,component,car_hd_BOSP,2025-01-01T06:01:00,2025-01-01T08:23:58,1.0,car_hd_BOSP
2,2_BOSP_2,component,car_hd_BOSP,2025-01-01T06:01:00,2025-01-01T08:27:18,1.0,car_hd_BOSP
2,2_BAT,component,car_hd_BAT,2025-01-01T06:01:00,2025-01-01T08:30:38,1.0,car_hd_BAT
2,2_RT_1,component,car_hd_RT,2025-01-01T06:01:00,2025-01-01T08:33:58,1.0,car_hd_RT
2,2_RT_2,component,car_hd_RT,2025-01-01T06:01:00,2025-01-01T08:37:18,1.0,car_hd_RT
1,1_BSA_1,component,car_sa_BSA,2025-01-01T06:00:00,2025-01-01T08:40:38,1.0,car_sa_BSA
2,2_FT_1,component,car_hd_FT,2025-01-01T06:01:00,2025-01-01T08:45:18,1.0,car_hd_FT
2,2_FT_2,component,car_hd_FT,2025-01-01T06:01:00,2025-01-01T08:48:38,1.0,car_hd_FT
1,1_BSA_2,component,car_sa_BSA,2025-01-01T06:00:00,2025-01-01T08:53:18,1.0,car_sa_BSA
1,1_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:00:00,2025-01-01T08:56:38,1.0,car_sa_CSEB-NABS
2,2_SSA_1,component,car_hd_SSA,2025-01-01T06:01:00,2025-01-01T09:01:18,1.0,car_hd_SSA
3,3_BOSP_1,component,car_tl_BOSP,2025-01-01T06:02:00,2025-01-01T09:05:58,1.0,car_tl_BOSP
6,6_RT_1,component,car_sa_RT,2025-01-01T06:05:00,2025-01-01T09:09:18,1.0,car_sa_RT
2,2_SSA_2,component,car_hd_SSA,2025-01-01T06:01:00,2025-01-01T09:13:58,1.0,car_hd_SSA
2,2_FAX,component,car_hd_FAX,2025-01-01T06:01:00,2025-01-01T09:17:18,1.0,car_hd_FAX
6,6_RT_2,component,car_sa_RT,2025-01-01T06:05:00,2025-01-01T09:20:38,1.0,car_sa_RT
6,6_FT_1,component,car_sa_FT,2025-01-01T06:05:00,2025-01-01T09:23:58,1.0,car_sa_FT
2,2_CHS,component,car_hd_CHS,2025-01-01T06:01:00,2025-01-01T09:28:38,1.0,car_hd_CHS
6,6_FT_2,component,car_sa_FT,2025-01-01T06:05:00,2025-01-01T09:33:18,1.0,car_sa_FT
3,3_BOSP_2,component,car_tl_BOSP,2025-01-01T06:02:00,2025-01-01T09:37:58,1.0,car_tl_BOSP
3,3_BAT,component,car_tl_BAT,2025-01-01T06:02:00,2025-01-01T09:41:18,1.0,car_tl_BAT
2,2_BSA_1,component,car_hd_BSA,2025-01-01T06:01:00,2025-01-01T09:44:38,1.0,car_hd_BSA
6,6_SSA_1,component,car_sa_SSA,2025-01-01T06:05:00,2025-01-01T09:49:18,1.0,car_sa_SSA
3,3_RT_1,component,car_tl_RT,2025-01-01T06:02:00,2025-01-01T09:53:58,1.0,car_tl_RT
3,3_RT_2,component,car_tl_RT,2025-01-01T06:02:00,2025-01-01T09:57:18,1.0,car_tl_RT
2,2_BSA_2,component,car_hd_BSA,2025-01-01T06:01:00,2025-01-01T10:00:38,1.0,car_hd_BSA
6,6_SSA_2,component,car_sa_SSA,2025-01-01T06:05:00,2025-01-01T10:03:58,1.0,car_sa_SSA
2,2_RAX_HD,component,car_hd_RAX_HD,2025-01-01T06:01:00,2025-01-01T10:08:38,1.0,car_hd_RAX_HD
7,7_RT_1,component,car_sa_RT,2025-01-01T06:06:00,2025-01-01T10:11:58,1.0,car_sa_RT
6,6_BSA_1,component,car_sa_BSA,2025-01-01T06:05:00,2025-01-01T10:16:38,1.0,car_sa_BSA
3,3_FT_1,component,car_tl_FT,2025-01-01T06:02:00,2025-01-01T10:21:18,1.0,car_tl_FT
7,7_RT_2,component,car_sa_RT,2025-01-01T06:06:00,2025-01-01T10:24:38,1.0,car_sa_RT
7,7_FT_1,component,car_sa_FT,2025-01-01T06:06:00,2025-01-01T10:27:58,1.0,car_sa_FT
6,6_BSA_2,component,car_sa_BSA,2025-01-01T06:05:00,2025-01-01T10:32:38,1.0,car_sa_BSA
6,6_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:05:00,2025-01-01T10:35:58,1.0,car_sa_CSEB-NABS
7,7_FT_2,component,car_sa_FT,2025-01-01T06:06:00,2025-01-01T10:40:38,1.0,car_sa_FT
3,3_FT_2,component,car_tl_FT,2025-01-01T06:02:00,2025-01-01T10:45:18,1.0,car_tl_FT
3,3_CRE,component,car_tl_CRE,2025-01-01T06:02:00,2025-01-01T10:48:38,1.0,car_tl_CRE
8,8_BOSP_1,component,car_rd_BOSP,2025-01-01T06:07:00,2025-01-01T10:51:58,1.0,car_rd_BOSP
7,7_SSA_1,component,car_sa_SSA,2025-01-01T06:06:00,2025-01-01T10:55:18,1.0,car_sa_SSA
8,8_BOSP_2,component,car_rd_BOSP,2025-01-01T06:07:00,2025-01-01T10:59:58,1.0,car_rd_BOSP
8,8_RT_1,component,car_rd_RT,2025-01-01T06:07:00,2025-01-01T11:03:18,1.0,car_rd_RT
8,8_RT_2,component,car_rd_RT,2025-01-01T06:07:00,2025-01-01T11:06:38,1.0,car_rd_RT
7,7_SSA_2,component,car_sa_SSA,2025-01-01T06:06:00,2025-01-01T11:09:58,1.0,car_sa_SSA
8,8_CORE,component,car_rd_CORE,2025-01-01T06:07:00,2025-01-01T11:14:38,1.0,car_rd_CORE
8,8_BSA_1,component,car_rd_BSA,2025-01-01T06:07:00,2025-01-01T11:17:58,1.0,car_rd_BSA
8,8_BSA_2,component,car_rd_BSA,2025-01-01T06:07:00,2025-01-01T11:21:18,1.0,car_rd_BSA
7,7_BSA_1,component,car_sa_BSA,2025-01-01T06:06:00,2025-01-01T11:24:38,1.0,car_sa_BSA
8,8_RAX_RD,component,car_rd_RAX_RD,2025-01-01T06:07:00,2025-01-01T11:29:18,1.0,car_rd_RAX_RD
4,4_RT_1,component,car_sa_RT,2025-01-01T06:03:00,2025-01-01T11:33:58,1.0,car_sa_RT
7,7_BSA_2,component,car_sa_BSA,2025-01-01T06:06:00,2025-01-01T11:37:18,1.0,car_sa_BSA
7,7_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:06:00,2025-01-01T11:40:38,1.0,car_sa_CSEB-NABS
4,4_RT_2,component,car_sa_RT,2025-01-01T06:03:00,2025-01-01T11:45:18,1.0,car_sa_RT
4,4_FT_1,component,car_sa_FT,2025-01-01T06:03:00,2025-01-01T11:48:38,1.0,car_sa_FT
4,4_FT_2,component,car_sa_FT,2025-01-01T06:03:00,2025-01-01T11:51:58,1.0,car_sa_FT
4,4_SSA_1,component,car_sa_SSA,2025-01-01T06:03:00,2025-01-01T11:55:18,1.0,car_sa_SSA
4,4_SSA_2,component,car_sa_SSA,2025-01-01T06:03:00,2025-01-01T11:58:38,1.0,car_sa_SSA
4,4_BSA_1,component,car_sa_BSA,2025-01-01T06:03:00,2025-01-01T12:01:58,1.0,car_sa_BSA
4,4_BSA_2,component,car_sa_BSA,2025-01-01T06:03:00,2025-01-01T12:05:18,1.0,car_sa_BSA
4,4_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:03:00,2025-01-01T12:08:38,1.0,car_sa_CSEB-NABS
5,5_RT_1,component,car_sa_RT,2025-01-01T06:04:00,2025-01-01T12:13:18,1.0,car_sa_RT
5,5_RT_2,component,car_sa_RT,2025-01-01T06:04:00,2025-01-01T12:16:38,1.0,car_sa_RT
5,5_FT_1,component,car_sa_FT,2025-01-01T06:04:00,2025-01-01T12:19:58,1.0,car_sa_FT
5,5_FT_2,component,car_sa_FT,2025-01-01T06:04:00,2025-01-01T12:23:18,1.0,car_sa_FT
5,5_SSA_1,component,car_sa_SSA,2025-01-01T06:04:00,2025-01-01T12:26:38,1.0,car_sa_SSA
5,5_SSA_2,component,car_sa_SSA,2025-01-01T06:04:00,2025-01-01T12:29:58,1.0,car_sa_SSA
5,5_BSA_1,component,car_sa_BSA,2025-01-01T06:04:00,2025-01-01T12:33:18,1.0,car_sa_BSA
5,5_BSA_2,component,car_sa_BSA,2025-01-01T06:04:00,2025-01-01T12:36:38,1.0,car_sa_BSA
5,5_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-01T06:04:00,2025-01-01T12:39:58,1.0,car_sa_CSEB-NABS
9,9_RT_1,component,car_sa_RT,2025-01-02T06:00:00,2025-01-02T07:51:12,1.0,car_sa_RT
9,9_RT_2,component,car_sa_RT,2025-01-02T06:00:00,2025-01-02T07:54:32,1.0,car_sa_RT
9,9_FT_1,component,car_sa_FT,2025-01-02T06:00:00,2025-01-02T08:02:18,1.0,car_sa_FT
9,9_FT_2,component,car_sa_FT,2025-01-02T06:00:00,2025-01-02T08:05:38,1.0,car_sa_FT
9,9_SSA_1,component,car_sa_SSA,2025-01-02T06:00:00,2025-01-02T08:08:58,1.0,car_sa_SSA
10,10_BOSP_1,component,car_rd_BOSP,2025-01-02T06:01:00,2025-01-02T08:13:38,1.0,car_rd_BOSP
10,10_BOSP_2,component,car_rd_BOSP,2025-01-02T06:01:00,2025-01-02T08:16:58,1.0,car_rd_BOSP
10,10_RT_1,component,car_rd_RT,2025-01-02T06:01:00,2025-01-02T08:20:18,1.0,car_rd_RT
10,10_RT_2,component,car_rd_RT,2025-01-02T06:01:00,2025-01-02T08:23:38,1.0,car_rd_RT
9,9_SSA_2,component,car_sa_SSA,2025-01-02T06:00:00,2025-01-02T08:26:58,1.0,car_sa_SSA
10,10_CORE,component,car_rd_CORE,2025-01-02T06:01:00,2025-01-02T08:31:38,1.0,car_rd_CORE
10,10_BSA_1,component,car_rd_BSA,2025-01-02T06:01:00,2025-01-02T08:34:58,1.0,car_rd_BSA
9,9_BSA_1,component,car_sa_BSA,2025-01-02T06:00:00,2025-01-02T08:39:38,1.0,car_sa_BSA
11,11_BOSP_1,component,car_hd_BOSP,2025-01-02T06:02:00,2025-01-02T08:44:18,1.0,car_hd_BOSP
11,11_BOSP_2,component,car_hd_BOSP,2025-01-02T06:02:00,2025-01-02T08:47:38,1.0,car_hd_BOSP
10,10_BSA_2,component,car_rd_BSA,2025-01-02T06:01:00,2025-01-02T08:50:58,1.0,car_rd_BSA
10,10_RAX_RD,component,car_rd_RAX_RD,2025-01-02T06:01:00,2025-01-02T08:54:18,1.0,car_rd_RAX_RD
9,9_BSA_2,component,car_sa_BSA,2025-01-02T06:00:00,2025-01-02T08:57:38,1.0,car_sa_BSA
9,9_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-02T06:00:00,2025-01-02T09:00:58,1.0,car_sa_CSEB-NABS
15,15_BOSP_1,component,car_rd_BOSP,2025-01-02T06:06:00,2025-01-02T09:05:38,1.0,car_rd_BOSP
14,14_RT_1,component,car_sa_RT,2025-01-02T06:05:00,2025-01-02T09:10:18,1.0,car_sa_RT
15,15_BOSP_2,component,car_rd_BOSP,2025-01-02T06:06:00,2025-01-02T09:14:58,1.0,car_rd_BOSP
14,14_RT_2,component,car_sa_RT,2025-01-02T06:05:00,2025-01-02T09:19:38,1.0,car_sa_RT
15,15_RT_1,component,car_rd_RT,2025-01-02T06:06:00,2025-01-02T09:24:18,1.0,car_rd_RT
14,14_FT_1,component,car_sa_FT,2025-01-02T06:05:00,2025-01-02T09:28:58,1.0,car_sa_FT
14,14_FT_2,component,car_sa_FT,2025-01-02T06:05:00,2025-01-02T09:32:18,1.0,car_sa_FT
15,15_RT_2,component,car_rd_RT,2025-01-02T06:06:00,2025-01-02T09:36:58,1.0,car_rd_RT
11,11_BAT,component,car_hd_BAT,2025-01-02T06:02:00,2025-01-02T09:41:38,1.0,car_hd_BAT
11,11_RT_1,component,car_hd_RT,2025-01-02T06:02:00,2025-01-02T09:44:58,1.0,car_hd_RT
11,11_RT_2,component,car_hd_RT,2025-01-02T06:02:00,2025-01-02T09:48:18,1.0,car_hd_RT
14,14_SSA_1,component,car_sa_SSA,2025-01-02T06:05:00,2025-01-02T09:51:38,1.0,car_sa_SSA
15,15_CORE,component,car_rd_CORE,2025-01-02T06:06:00,2025-01-02T09:56:18,1.0,car_rd_CORE
11,11_FT_1,component,car_hd_FT,2025-01-02T06:02:00,2025-01-02T10:00:58,1.0,car_hd_FT
11,11_FT_2,component,car_hd_FT,2025-01-02T06:02:00,2025-01-02T10:04:18,1.0,car_hd_FT
14,14_SSA_2,component,car_sa_SSA,2025-01-02T06:05:00,2025-01-02T10:07:38,1.0,car_sa_SSA
15,15_BSA_1,component,car_rd_BSA,2025-01-02T06:06:00,2025-01-02T10:12:18,1.0,car_rd_BSA
15,15_BSA_2,component,car_rd_BSA,2025-01-02T06:06:00,2025-01-02T10:15:38,1.0,car_rd_BSA
11,11_SSA_1,component,car_hd_SSA,2025-01-02T06:02:00,2025-01-02T10:18:58,1.0,car_hd_SSA
14,14_BSA_1,component,car_sa_BSA,2025-01-02T06:05:00,2025-01-02T10:22:18,1.0,car_sa_BSA
15,15_RAX_RD,component,car_rd_RAX_RD,2025-01-02T06:06:00,2025-01-02T10:26:58,1.0,car_rd_RAX_RD
11,11_SSA_2,component,car_hd_SSA,2025-01-02T06:02:00,2025-01-02T10:31:38,1.0,car_hd_SSA
14,14_BSA_2,component,car_sa_BSA,2025-01-02T06:05:00,2025-01-02T10:34:58,1.0,car_sa_BSA
14,14_CSEB-NABS,component,car_sa_CSEB-NABS,2025-01-02T06:05:00,2025-01-02T10:38:18,1.0,car_sa_CSEB-NABS
11,11_FAX,component,car_hd_FAX,2025-01-02T06:02:00,2025-01-02T10:42:58,1.0,car_hd_FAX
11,11_CHS,component,car_hd_CHS,2025-01-02T06:02:00,2025-01-02T10:46:18,1.0,car_hd_CHS
11,11_BSA_1,component,car_hd_BSA,2025-01-02T06:02:00,2025-01-02T10:49:38,1.0,car_hd_BSA
11,11_BSA_2,component,car_hd_BSA,2025-01-02T06:02:00,2025-01-02T10:52:58,1.0,car_hd_BSA
11,11_RAX_HD,component,car_hd_RAX_HD,2025-01-02T06:02:00,2025-01-02T10:56:18,1.0,car_hd_RAX_HD
16,16_RT_1,component,car_sa_RT,2025-01-02T06:07:00,2025-01-02T10:59:38,1.0,car_sa_RT
16,16_RT_2,component,car_sa_RT,2025-01-02T06:07:00,2025-01-02T11:02:58,1.0,car_sa_RT
16,16_FT_1,component,car_sa_FT,2025-01-02T06:07:00,2025-01-02T11:06:18,1.0,car_sa_FT
16,16_FT_2,component,car_sa_FT,2025-01-02T06:07:00,2025-01-02T11:09:38,1.0,car_sa_FT
16,16_SSA_1,component,car_sa_SSA,2025-01-02T06:07:00,2025-01-02T11:12:58,1.0,car_sa_SSA
16,16_SSA_2,component,car_sa_SSA,2025-01-02T06:07:00,2025-01-02T11:16:18,1.0,car_sa_SSA
