event_id,caseID,object_id,object_type,activity,activity_state,resource_id,resource_location,timestamp,related_objects
e001190,12,prod_012_car_rd,product,inspection,start,ws-03_S1toS4,workstation,2025-01-02T09:45:08,
e001191,12,prod_012_car_rd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-02T09:45:08,comp_012_BOSP:identified_qty2_mandatory_blocking
e001192,12,prod_012_car_rd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-02T09:45:08,comp_012_RT:identified_qty2_mandatory_blocking
e001193,12,prod_012_car_rd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-02T09:45:08,comp_012_BOSP_1/2:target
e001194,15,prod_015_car_sa,product,buffer,exit,incoming_storage,outbuf_to_next,2025-01-02T09:47:44,
e001195,15,prod_015_car_sa,product,transport,load,logistics_resource_01,vehicle,2025-01-02T09:48:44,
e001196,15,prod_015_car_sa,product,transport,unload,logistics_resource_01,vehicle,2025-01-02T09:49:48,
e001197,15,prod_015_car_sa,product,buffer,enter,ws-03_S1toS4,inbuf,2025-01-02T09:50:48,
e001198,11,prod_011_car_sa,product,buffer,exit,ws-03_S1toS4,outbuf_to_next,2025-01-02T09:50:48,
e001199,11,prod_011_car_sa,product,transport,load,logistics_resource_01,vehicle,2025-01-02T09:51:48,
e001200,11,prod_011_car_sa,product,transport,unload,logistics_resource_01,vehicle,2025-01-02T09:53:28,
e001201,12,prod_012_car_rd,product,disassembly,complete,ws-03_S1toS4,workstation,2025-01-02T09:53:58,comp_012_BOSP_1/2:removed
e001202,12,comp_012_BOSP_1,component,object,created,ws-03_S1toS4,workstation,2025-01-02T09:53:58,prod_012_car_rd:parent
e001203,11,prod_011_car_sa,product,buffer,enter,ws-05_S6S8,inbuf,2025-01-02T09:54:28,
e001204,12,comp_012_BOSP_1,component,buffer,enter,ws-03_S1toS4,outbuf_to_store,2025-01-02T09:54:58,
e001205,12,prod_012_car_rd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-02T09:54:58,comp_012_BOSP_2/2:target
e001206,12,comp_012_BOSP_1,component,buffer,exit,ws-03_S1toS4,outbuf_to_store,2025-01-02T09:56:38,
e001207,12,comp_012_BOSP_1,component,transport,load,logistics_resource_01,vehicle,2025-01-02T09:57:38,
e001208,10,prod_010_car_rd,product,disassembly,complete,ws-05_S6S8,workstation,2025-01-02T09:58:07,comp_010_BSA_1/2:removed
e001209,10,comp_010_BSA_1,component,object,created,ws-05_S6S8,workstation,2025-01-02T09:58:07,prod_010_car_rd:parent
e001210,12,comp_012_BOSP_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-02T09:58:18,
e001211,10,comp_010_BSA_1,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-02T09:59:07,
e001212,10,prod_010_car_rd,product,disassembly,start,ws-05_S6S8,workstation,2025-01-02T09:59:07,comp_010_BSA_2/2:target
e001213,12,comp_012_BOSP_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-02T09:59:18,
e001214,12,comp_012_BOSP_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-02T09:59:18,
e001215,12,comp_012_BOSP_1,component,system,exit,outgoing_storage,shipping,2025-01-02T09:59:18,
e001216,10,comp_010_BSA_1,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-02T10:01:18,
e001217,10,comp_010_BSA_1,component,transport,load,logistics_resource_01,vehicle,2025-01-02T10:02:18,
e001218,10,comp_010_BSA_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-02T10:02:58,
e001219,12,prod_012_car_rd,product,disassembly,complete,ws-03_S1toS4,workstation,2025-01-02T10:03:48,comp_012_BOSP_2/2:removed
e001220,12,comp_012_BOSP_2,component,object,created,ws-03_S1toS4,workstation,2025-01-02T10:03:48,prod_012_car_rd:parent
e001221,10,comp_010_BSA_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-02T10:03:58,
e001222,10,comp_010_BSA_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-02T10:03:58,
e001223,10,comp_010_BSA_1,component,system,exit,outgoing_storage,shipping,2025-01-02T10:03:58,
e001224,12,comp_012_BOSP_2,component,buffer,enter,ws-03_S1toS4,outbuf_to_store,2025-01-02T10:04:48,
e001225,12,prod_012_car_rd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-02T10:04:48,comp_012_RT_1/2:target
e001226,12,comp_012_BOSP_2,component,buffer,exit,ws-03_S1toS4,outbuf_to_store,2025-01-02T10:05:58,
e001227,12,comp_012_BOSP_2,component,transport,load,logistics_resource_01,vehicle,2025-01-02T10:06:58,
e001228,12,comp_012_BOSP_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-02T10:07:38,
e001229,12,comp_012_BOSP_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-02T10:08:38,
e001230,12,comp_012_BOSP_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-02T10:08:38,
e001231,12,comp_012_BOSP_2,component,system,exit,outgoing_storage,shipping,2025-01-02T10:08:38,
e001232,10,prod_010_car_rd,product,disassembly,complete,ws-05_S6S8,workstation,2025-01-02T10:15:37,comp_010_BSA_2/2:removed
e001233,10,comp_010_BSA_2,component,object,created,ws-05_S6S8,workstation,2025-01-02T10:15:37,prod_010_car_rd:parent
e001234,12,prod_012_car_rd,product,disassembly,complete,ws-03_S1toS4,workstation,2025-01-02T10:15:58,comp_012_RT_1/2:removed
e001235,12,comp_012_RT_1,component,object,created,ws-03_S1toS4,workstation,2025-01-02T10:15:58,prod_012_car_rd:parent
e001236,10,comp_010_BSA_2,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-02T10:16:37,
e001237,10,prod_010_car_rd,product,disassembly,start,ws-05_S6S8,workstation,2025-01-02T10:16:37,comp_010_RAX_RD:target
e001238,10,prod_010_car_rd,product,disassembly,complete,ws-05_S6S8,workstation,2025-01-02T10:16:43,comp_010_RAX_RD:removed
e001239,10,comp_010_RAX_RD,component,object,created,ws-05_S6S8,workstation,2025-01-02T10:16:43,prod_010_car_rd:parent
