exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp050,system_01,rear,a02,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 09:35:49,216,150,9,0,9,100.0,False,
exp050,system_01,rear,a02,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:12:04,2025-01-01 11:02:36,302,231,9,0,9,100.0,False,
exp050,system_01,rear,a02,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:17:04,2025-01-01 12:23:10,381,306,9,0,9,100.0,False,
exp050,system_01,rear,a02,4,prod_004_car_rd,car_rd,2025-01-01 06:03:00,2025-01-01 07:22:04,2025-01-01 14:24:34,502,422,8,0,8,100.0,False,
exp050,system_01,rear,a02,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 07:54:07,2025-01-01 13:45:28,461,351,9,0,9,100.0,False,
exp050,system_01,rear,a02,6,prod_006_car_rd,car_rd,2025-01-01 06:05:00,2025-01-01 08:36:47,2025-01-01 15:03:40,539,387,8,0,8,100.0,False,
exp050,system_01,rear,a02,7,prod_007_car_rd,car_rd,2025-01-01 06:06:00,2025-01-01 09:16:45,2025-01-02 07:09:20,1503,1313,8,0,8,100.0,False,
exp050,system_01,rear,a02,8,prod_008_car_sa,car_sa,2025-01-01 06:07:00,2025-01-01 10:01:11,2025-01-01 16:28:25,621,387,9,0,9,100.0,False,
exp050,system_01,rear,a02,9,prod_009_car_rd,car_rd,2025-01-02 06:00:00,2025-01-02 07:12:24,2025-01-02 09:57:24,237,165,8,0,8,100.0,False,
exp050,system_01,rear,a02,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:17:04,2025-01-02 11:58:14,357,281,8,0,8,100.0,False,
