exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp073,system_03,mixed,a00,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:10:08,2025-01-01 09:56:47,237,167,9,0,9,100.0,False,
exp073,system_03,mixed,a00,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:21:56,2025-01-01 11:21:49,321,240,9,0,9,100.0,False,
exp073,system_03,mixed,a00,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:30:58,2025-01-01 12:42:54,401,312,9,0,9,100.0,False,
exp073,system_03,mixed,a00,4,prod_004_car_sa,car_sa,2025-01-01 06:03:00,2025-01-01 08:14:40,2025-01-01 14:08:55,486,354,9,0,9,100.0,False,
exp073,system_03,mixed,a00,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 10:07:44,2025-01-01 15:31:24,567,324,9,0,9,100.0,False,
exp073,system_03,mixed,a00,6,prod_006_car_tl,car_tl,2025-01-01 06:05:00,2025-01-01 07:06:00,2025-01-01 11:09:09,304,243,8,0,8,100.0,False,
exp073,system_03,mixed,a00,7,prod_007_car_sa,car_sa,2025-01-01 06:06:00,2025-01-01 10:59:21,2025-01-01 16:56:10,650,357,9,0,9,100.0,False,
exp073,system_03,mixed,a00,8,prod_008_car_tl,car_tl,2025-01-01 06:07:00,2025-01-01 07:17:48,2025-01-01 12:51:44,405,334,8,0,8,100.0,False,
exp073,system_03,mixed,a00,9,prod_009_car_sa,car_sa,2025-01-02 06:00:00,2025-01-02 07:11:52,2025-01-02 10:02:47,243,171,9,0,9,100.0,False,
exp073,system_03,mixed,a00,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:07:44,2025-01-02 13:31:24,450,384,8,0,8,100.0,False,
exp073,system_03,mixed,a00,11,prod_011_car_tl,car_tl,2025-01-02 06:02:00,2025-01-02 07:17:28,2025-01-02 11:35:07,333,258,8,0,8,100.0,False,
exp073,system_03,mixed,a00,12,prod_012_car_tl,car_tl,2025-01-02 06:03:00,2025-01-02 07:27:12,2025-01-02 12:26:28,383,299,8,0,8,100.0,False,
