exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp054,system_02,rear,a02,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 09:19:20,199,133,9,0,9,100.0,False,
exp054,system_02,rear,a02,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:10:08,2025-01-01 09:27:20,206,137,9,0,9,100.0,False,
exp054,system_02,rear,a02,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:15:44,2025-01-01 10:02:40,241,167,9,0,9,100.0,False,
exp054,system_02,rear,a02,4,prod_004_car_rd,car_rd,2025-01-01 06:03:00,2025-01-01 07:19:52,2025-01-01 11:42:40,340,263,8,0,8,100.0,False,
exp054,system_02,rear,a02,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 07:32:58,2025-01-01 11:21:20,317,228,9,0,9,100.0,False,
exp054,system_02,rear,a02,6,prod_006_car_rd,car_rd,2025-01-01 06:05:00,2025-01-01 07:37:06,2025-01-01 11:06:40,302,210,8,0,8,100.0,False,
exp054,system_02,rear,a02,7,prod_007_car_rd,car_rd,2025-01-01 06:06:00,2025-01-01 07:42:42,2025-01-01 11:14:40,309,212,8,0,8,100.0,False,
exp054,system_02,rear,a02,8,prod_008_car_sa,car_sa,2025-01-01 06:07:00,2025-01-01 07:46:50,2025-01-01 12:27:49,381,281,9,0,9,100.0,False,
exp054,system_02,rear,a02,9,prod_009_car_rd,car_rd,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 09:02:08,182,114,8,0,8,100.0,False,
exp054,system_02,rear,a02,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:11:52,2025-01-02 09:10:08,189,118,8,0,8,100.0,False,
exp054,system_02,rear,a02,11,prod_011_car_sa,car_sa,2025-01-02 06:02:00,2025-01-02 07:17:28,2025-01-02 10:02:48,241,165,9,0,9,100.0,False,
exp054,system_02,rear,a02,12,prod_012_car_rd,car_rd,2025-01-02 06:03:00,2025-01-02 07:21:36,2025-01-02 11:42:48,340,261,8,0,8,100.0,False,
exp054,system_02,rear,a02,13,prod_013_car_rd,car_rd,2025-01-02 06:04:00,2025-01-02 07:27:12,2025-01-02 10:44:48,281,198,8,0,8,100.0,False,
exp054,system_02,rear,a02,14,prod_014_car_sa,car_sa,2025-01-02 06:05:00,2025-01-02 07:31:20,2025-01-02 11:08:48,304,217,9,0,9,100.0,False,
exp054,system_02,rear,a02,15,prod_015_car_sa,car_sa,2025-01-02 06:06:00,2025-01-02 07:36:56,2025-01-02 11:31:28,325,235,9,0,9,100.0,False,
exp054,system_02,rear,a02,16,prod_016_car_sa,car_sa,2025-01-02 06:07:00,2025-01-02 07:49:04,2025-01-02 12:30:27,383,281,9,0,9,100.0,False,
exp054,system_02,rear,a02,17,prod_017_car_rd,car_rd,2025-01-03 06:00:00,2025-01-03 07:07:44,2025-01-03 09:02:08,182,114,8,0,8,100.0,False,
exp054,system_02,rear,a02,18,prod_018_car_rd,car_rd,2025-01-03 06:01:00,2025-01-03 07:11:52,2025-01-03 09:10:08,189,118,8,0,8,100.0,False,
exp054,system_02,rear,a02,19,prod_019_car_sa,car_sa,2025-01-03 06:02:00,2025-01-03 07:17:28,2025-01-03 09:58:48,237,161,9,0,9,100.0,False,
exp054,system_02,rear,a02,20,prod_020_car_sa,car_sa,2025-01-03 06:03:00,2025-01-03 07:21:36,2025-01-03 11:43:28,340,262,9,0,9,100.0,False,
exp054,system_02,rear,a02,21,prod_021_car_sa,car_sa,2025-01-03 06:04:00,2025-01-03 07:27:12,2025-01-03 11:02:48,299,216,9,0,9,100.0,False,
exp054,system_02,rear,a02,22,prod_022_car_rd,car_rd,2025-01-03 06:05:00,2025-01-03 07:31:20,2025-01-03 10:50:08,285,199,8,0,8,100.0,False,
exp054,system_02,rear,a02,23,prod_023_car_sa,car_sa,2025-01-03 06:06:00,2025-01-03 07:36:56,2025-01-03 11:32:08,326,235,9,0,9,100.0,False,
exp054,system_02,rear,a02,24,prod_024_car_sa,car_sa,2025-01-03 06:07:00,2025-01-03 07:49:04,2025-01-03 12:43:47,397,295,9,0,9,100.0,False,
exp054,system_02,rear,a02,25,prod_025_car_rd,car_rd,2025-01-04 06:00:00,2025-01-04 07:07:44,2025-01-04 09:04:08,184,116,8,0,8,100.0,False,
exp054,system_02,rear,a02,26,prod_026_car_rd,car_rd,2025-01-04 06:01:00,2025-01-04 07:11:52,2025-01-04 09:12:08,191,120,8,0,8,100.0,False,
