exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp080,system_05,mixed,a06,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 08:56:38,177,111,9,0,9,100.0,False,
exp080,system_05,mixed,a06,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:10:08,2025-01-01 09:04:38,184,114,9,0,9,100.0,False,
exp080,system_05,mixed,a06,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:15:44,2025-01-01 10:45:58,284,210,9,0,9,100.0,False,
exp080,system_05,mixed,a06,4,prod_004_car_sa,car_sa,2025-01-01 06:03:00,2025-01-01 07:19:52,2025-01-01 11:43:58,341,264,9,0,9,100.0,False,
exp080,system_05,mixed,a06,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 07:25:28,2025-01-01 12:15:18,371,290,9,0,9,100.0,False,
exp080,system_05,mixed,a06,6,prod_006_car_tl,car_tl,2025-01-01 06:05:00,2025-01-01 07:36:36,2025-01-01 10:03:58,239,147,8,0,8,100.0,False,
exp080,system_05,mixed,a06,7,prod_007_car_sa,car_sa,2025-01-01 06:06:00,2025-01-01 07:40:44,2025-01-01 10:41:18,275,181,9,0,9,100.0,False,
exp080,system_05,mixed,a06,8,prod_008_car_tl,car_tl,2025-01-01 06:07:00,2025-01-01 07:46:20,2025-01-01 11:12:38,306,206,8,0,8,100.0,False,
exp080,system_05,mixed,a06,9,prod_009_car_sa,car_sa,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 09:00:58,181,113,9,0,9,100.0,False,
exp080,system_05,mixed,a06,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:11:52,2025-01-02 08:54:18,173,102,8,0,8,100.0,False,
exp080,system_05,mixed,a06,11,prod_011_car_tl,car_tl,2025-01-02 06:02:00,2025-01-02 07:17:28,2025-01-02 10:27:38,266,190,8,0,8,100.0,False,
exp080,system_05,mixed,a06,12,prod_012_car_tl,car_tl,2025-01-02 06:03:00,2025-01-02 07:21:36,2025-01-02 11:25:38,323,244,8,0,8,100.0,False,
exp080,system_05,mixed,a06,13,prod_013_car_sa,car_sa,2025-01-02 06:04:00,2025-01-02 07:27:12,2025-01-02 11:56:58,353,270,9,0,9,100.0,False,
exp080,system_05,mixed,a06,14,prod_014_car_tl,car_tl,2025-01-02 06:05:00,2025-01-02 07:34:24,2025-01-02 10:08:18,243,154,8,0,8,100.0,False,
exp080,system_05,mixed,a06,15,prod_015_car_rd,car_rd,2025-01-02 06:06:00,2025-01-02 07:38:32,2025-01-02 10:19:38,254,161,8,0,8,100.0,False,
exp080,system_05,mixed,a06,16,prod_016_car_sa,car_sa,2025-01-02 06:07:00,2025-01-02 07:44:08,2025-01-02 10:57:38,291,194,9,0,9,100.0,False,
exp080,system_05,mixed,a06,17,prod_017_car_sa,car_sa,2025-01-03 06:00:00,2025-01-03 07:07:44,2025-01-03 08:59:38,180,112,9,0,9,100.0,False,
exp080,system_05,mixed,a06,18,prod_018_car_tl,car_tl,2025-01-03 06:01:00,2025-01-03 07:11:52,2025-01-03 08:46:18,165,94,8,0,8,100.0,False,
exp080,system_05,mixed,a06,19,prod_019_car_sa,car_sa,2025-01-03 06:02:00,2025-01-03 07:17:28,2025-01-03 10:32:18,270,195,9,0,9,100.0,False,
exp080,system_05,mixed,a06,20,prod_020_car_tl,car_tl,2025-01-03 06:03:00,2025-01-03 07:21:36,2025-01-03 11:26:58,324,245,8,0,8,100.0,False,
exp080,system_05,mixed,a06,21,prod_021_car_rd,car_rd,2025-01-03 06:04:00,2025-01-03 07:27:12,2025-01-03 11:54:58,351,268,8,0,8,100.0,False,
exp080,system_05,mixed,a06,22,prod_022_car_tl,car_tl,2025-01-03 06:05:00,2025-01-03 07:34:24,2025-01-03 10:02:58,238,149,8,0,8,100.0,False,
exp080,system_05,mixed,a06,23,prod_023_car_rd,car_rd,2025-01-03 06:06:00,2025-01-03 07:38:32,2025-01-03 10:10:58,245,152,8,0,8,100.0,False,
exp080,system_05,mixed,a06,24,prod_024_car_tl,car_tl,2025-01-03 06:07:00,2025-01-03 07:44:08,2025-01-03 10:58:58,292,195,8,0,8,100.0,False,
exp080,system_05,mixed,a06,25,prod_025_car_rd,car_rd,2025-01-04 06:00:00,2025-01-04 07:07:44,2025-01-04 08:50:58,171,103,8,0,8,100.0,False,
