exp_id,system,product_mix,automation_level,station_id,runtime_minutes,waiting_time_minutes,closed_time_minutes,total_simulation_time_minutes,factory_open_time_minutes,utilization_rate_running,utilization_rate_waiting,utilization_rate_closed
exp069,system_02,mixed,a00,ws-01_S1toS8,1046,3154,5880,10080,4200,10.38,31.29,58.33
exp069,system_02,mixed,a00,ws-02_S1toS8,921,3279,5880,10080,4200,9.14,32.53,58.33
exp069,system_02,mixed,a00,ws-03_S1toS8,994,3206,5880,10080,4200,9.86,31.81,58.33
exp069,system_02,mixed,a00,ws-04_S1toS8,921,3279,5880,10080,4200,9.14,32.53,58.33
