exp_id,system,product_mix,automation_level,caseID,product_id,product_type,station_id,component_name,step_name,quality,start_time,end_time,process_duration
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_BOSP_1/2,BOSP,1.0,2025-01-01 07:12:04,2025-01-01 07:20:53,8.8
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_BOSP_2/2,BOSP,1.0,2025-01-01 07:21:53,2025-01-01 07:30:43,8.8
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_RT_1/2,RT,1.0,2025-01-01 07:31:43,2025-01-01 07:42:53,11.2
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_RT_2/2,RT,1.0,2025-01-01 07:43:53,2025-01-01 07:55:04,11.2
exp005,system_01,balanced,a00,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_RT_1/2,RT,1.0,2025-01-01 08:00:04,2025-01-01 08:11:14,11.2
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-04_S5S7,comp_001_CORE,CORE,1.0,2025-01-01 08:11:38,2025-01-01 08:32:27,20.8
exp005,system_01,balanced,a00,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_RT_2/2,RT,1.0,2025-01-01 08:12:14,2025-01-01 08:23:24,11.2
exp005,system_01,balanced,a00,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_FT_1/2,FT,1.0,2025-01-01 08:24:24,2025-01-01 08:36:54,12.5
exp005,system_01,balanced,a00,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_FT_2/2,FT,1.0,2025-01-01 08:37:54,2025-01-01 08:50:24,12.5
exp005,system_01,balanced,a00,1,prod_001_car_rd,car_rd,ws-05_S6S8,comp_001_BSA_1/2,BSA,1.0,2025-01-01 08:44:37,2025-01-01 09:01:07,16.5
exp005,system_01,balanced,a00,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_BOSP_1/2,BOSP,1.0,2025-01-01 08:55:24,2025-01-01 09:04:14,8.8
