exp_id,system,product_mix,automation_level,caseID,product_id,product_type,station_id,component_name,step_name,quality,start_time,end_time,process_duration
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_BOSP_1/2,BOSP,1.0,2025-01-01 07:12:04,2025-01-01 07:20:53,8.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_BOSP_2/2,BOSP,1.0,2025-01-01 07:21:53,2025-01-01 07:30:43,8.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_RT_1/2,RT,1.0,2025-01-01 07:31:43,2025-01-01 07:41:33,9.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-03_S1toS4,comp_001_RT_2/2,RT,1.0,2025-01-01 07:42:33,2025-01-01 07:52:23,9.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_RT_1/2,RT,1.0,2025-01-01 07:57:23,2025-01-01 08:07:13,9.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-04_S5S7,comp_001_CORE,CORE,1.0,2025-01-01 08:07:21,2025-01-01 08:28:11,20.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_RT_2/2,RT,1.0,2025-01-01 08:08:13,2025-01-01 08:18:02,9.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_FT_1/2,FT,1.0,2025-01-01 08:19:02,2025-01-01 08:25:02,6.0
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-03_S1toS4,comp_002_FT_2/2,FT,1.0,2025-01-01 08:26:02,2025-01-01 08:32:02,6.0
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_BOSP_1/2,BOSP,1.0,2025-01-01 08:37:02,2025-01-01 08:45:52,8.8
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_BOSP_2/2,BOSP,1.0,2025-01-01 08:46:52,2025-01-01 08:55:42,8.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-05_S6S8,comp_002_SSA_1/2,SSA,1.0,2025-01-01 08:49:10,2025-01-01 09:11:00,21.8
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_BAT,BAT,1.0,2025-01-01 08:56:42,2025-01-01 09:03:42,7.0
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_RT_1/2,RT,1.0,2025-01-01 09:04:42,2025-01-01 09:14:32,9.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-05_S6S8,comp_002_SSA_2/2,SSA,1.0,2025-01-01 09:12:00,2025-01-01 09:33:50,21.8
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_RT_2/2,RT,1.0,2025-01-01 09:15:32,2025-01-01 09:25:22,9.8
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_FT_1/2,FT,1.0,2025-01-01 09:26:22,2025-01-01 09:32:22,6.0
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_FT_2/2,FT,1.0,2025-01-01 09:33:22,2025-01-01 09:39:22,6.0
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-05_S6S8,comp_002_BSA_1/2,BSA,1.0,2025-01-01 09:34:50,2025-01-01 09:51:20,16.5
exp006,system_01,balanced,a02,3,prod_003_car_tl,car_tl,ws-03_S1toS4,comp_003_CRE,CRE,1.0,2025-01-01 09:40:22,2025-01-01 09:40:28,0.1
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,ws-03_S1toS4,comp_004_BOSP_1/2,BOSP,1.0,2025-01-01 09:44:28,2025-01-01 09:53:17,8.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-05_S6S8,comp_002_BSA_2/2,BSA,1.0,2025-01-01 09:52:20,2025-01-01 10:08:50,16.5
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,ws-03_S1toS4,comp_004_BOSP_2/2,BOSP,1.0,2025-01-01 09:54:17,2025-01-01 10:03:07,8.8
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,ws-03_S1toS4,comp_004_RT_1/2,RT,1.0,2025-01-01 10:04:07,2025-01-01 10:13:57,9.8
exp006,system_01,balanced,a02,2,prod_002_car_sa,car_sa,ws-05_S6S8,comp_002_CSEB-NABS,CSEB-NABS,1.0,2025-01-01 10:09:50,2025-01-01 10:09:56,0.1
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-05_S6S8,comp_001_BSA_1/2,BSA,1.0,2025-01-01 10:13:56,2025-01-01 10:30:26,16.5
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,ws-03_S1toS4,comp_004_RT_2/2,RT,1.0,2025-01-01 10:14:57,2025-01-01 10:24:47,9.8
exp006,system_01,balanced,a02,5,prod_005_car_sa,car_sa,ws-03_S1toS4,comp_005_RT_1/2,RT,1.0,2025-01-01 10:29:47,2025-01-01 10:39:37,9.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-05_S6S8,comp_001_BSA_2/2,BSA,1.0,2025-01-01 10:31:26,2025-01-01 10:47:56,16.5
exp006,system_01,balanced,a02,5,prod_005_car_sa,car_sa,ws-03_S1toS4,comp_005_RT_2/2,RT,1.0,2025-01-01 10:40:37,2025-01-01 10:50:26,9.8
exp006,system_01,balanced,a02,4,prod_004_car_rd,car_rd,ws-04_S5S7,comp_004_CORE,CORE,1.0,2025-01-01 10:41:38,2025-01-01 11:02:27,20.8
exp006,system_01,balanced,a02,1,prod_001_car_rd,car_rd,ws-05_S6S8,comp_001_RAX_RD,RAX_RD,1.0,2025-01-01 10:48:56,2025-01-01 10:49:02,0.1
