exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp077,system_05,mixed,a00,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 09:37:18,217,151,9,0,9,100.0,False,
exp077,system_05,mixed,a00,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:10:08,2025-01-01 09:49:58,229,160,9,0,9,100.0,False,
exp077,system_05,mixed,a00,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:15:44,2025-01-01 10:12:38,251,177,9,0,9,100.0,False,
exp077,system_05,mixed,a00,4,prod_004_car_sa,car_sa,2025-01-01 06:03:00,2025-01-01 07:19:52,2025-01-01 11:47:58,345,268,9,0,9,100.0,False,
exp077,system_05,mixed,a00,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 07:25:28,2025-01-01 12:27:18,383,302,9,0,9,100.0,False,
exp077,system_05,mixed,a00,6,prod_006_car_tl,car_tl,2025-01-01 06:05:00,2025-01-01 07:37:56,2025-01-01 10:59:18,294,201,8,0,8,100.0,False,
exp077,system_05,mixed,a00,7,prod_007_car_sa,car_sa,2025-01-01 06:06:00,2025-01-01 07:42:04,2025-01-01 11:55:58,350,254,9,0,9,100.0,False,
exp077,system_05,mixed,a00,8,prod_008_car_tl,car_tl,2025-01-01 06:07:00,2025-01-01 07:47:40,2025-01-01 11:15:18,308,208,8,0,8,100.0,False,
exp077,system_05,mixed,a00,9,prod_009_car_sa,car_sa,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 09:37:38,218,150,9,0,9,100.0,False,
exp077,system_05,mixed,a00,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:11:52,2025-01-02 09:10:18,189,118,8,0,8,100.0,False,
exp077,system_05,mixed,a00,11,prod_011_car_tl,car_tl,2025-01-02 06:02:00,2025-01-02 07:17:28,2025-01-02 09:24:18,202,127,8,0,8,100.0,False,
exp077,system_05,mixed,a00,12,prod_012_car_tl,car_tl,2025-01-02 06:03:00,2025-01-02 07:21:36,2025-01-02 11:30:58,328,249,8,0,8,100.0,False,
exp077,system_05,mixed,a00,13,prod_013_car_sa,car_sa,2025-01-02 06:04:00,2025-01-02 07:27:12,2025-01-02 12:02:18,358,275,9,0,9,100.0,False,
exp077,system_05,mixed,a00,14,prod_014_car_tl,car_tl,2025-01-02 06:05:00,2025-01-02 07:34:24,2025-01-02 11:01:38,297,207,8,0,8,100.0,False,
exp077,system_05,mixed,a00,15,prod_015_car_rd,car_rd,2025-01-02 06:06:00,2025-01-02 07:38:32,2025-01-02 10:54:58,289,196,8,0,8,100.0,False,
exp077,system_05,mixed,a00,16,prod_016_car_sa,car_sa,2025-01-02 06:07:00,2025-01-02 07:44:08,2025-01-02 11:09:38,303,206,9,0,9,100.0,False,
exp077,system_05,mixed,a00,17,prod_017_car_sa,car_sa,2025-01-03 06:00:00,2025-01-03 07:07:44,2025-01-03 09:36:18,216,149,9,0,9,100.0,False,
exp077,system_05,mixed,a00,18,prod_018_car_tl,car_tl,2025-01-03 06:01:00,2025-01-03 07:11:52,2025-01-03 08:48:18,167,96,8,0,8,100.0,False,
exp077,system_05,mixed,a00,19,prod_019_car_sa,car_sa,2025-01-03 06:02:00,2025-01-03 07:17:28,2025-01-03 09:53:38,232,156,9,0,9,100.0,False,
exp077,system_05,mixed,a00,20,prod_020_car_tl,car_tl,2025-01-03 06:03:00,2025-01-03 07:21:36,2025-01-03 11:30:58,328,249,8,0,8,100.0,False,
exp077,system_05,mixed,a00,21,prod_021_car_rd,car_rd,2025-01-03 06:04:00,2025-01-03 07:27:12,2025-01-03 11:58:58,355,272,8,0,8,100.0,False,
exp077,system_05,mixed,a00,22,prod_022_car_tl,car_tl,2025-01-03 06:05:00,2025-01-03 07:34:24,2025-01-03 10:58:18,293,204,8,0,8,100.0,False,
exp077,system_05,mixed,a00,23,prod_023_car_rd,car_rd,2025-01-03 06:06:00,2025-01-03 07:38:32,2025-01-03 10:38:58,273,180,8,0,8,100.0,False,
exp077,system_05,mixed,a00,24,prod_024_car_tl,car_tl,2025-01-03 06:07:00,2025-01-03 07:44:08,2025-01-03 11:09:38,303,206,8,0,8,100.0,False,
exp077,system_05,mixed,a00,25,prod_025_car_rd,car_rd,2025-01-04 06:00:00,2025-01-04 07:07:44,2025-01-04 09:05:38,186,118,8,0,8,100.0,False,
exp077,system_05,mixed,a00,26,prod_026_car_rd,car_rd,2025-01-04 06:01:00,2025-01-04 07:11:52,2025-01-04 09:13:38,193,122,8,0,8,100.0,False,
exp077,system_05,mixed,a00,27,prod_027_car_tl,car_tl,2025-01-04 06:02:00,2025-01-04 07:17:28,2025-01-04 09:28:18,206,131,8,0,8,100.0,False,
exp077,system_05,mixed,a00,28,prod_028_car_rd,car_rd,2025-01-04 06:03:00,2025-01-04 07:21:36,2025-01-04 11:26:18,323,245,8,0,8,100.0,False,
