exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp057,system_03,rear,a00,1,prod_001_car_sa,car_sa,2025-01-01 06:00:00,2025-01-01 07:10:08,2025-01-01 09:49:00,229,159,9,0,9,100.0,False,
exp057,system_03,rear,a00,2,prod_002_car_sa,car_sa,2025-01-01 06:01:00,2025-01-01 07:21:56,2025-01-01 11:14:59,314,233,9,0,9,100.0,False,
exp057,system_03,rear,a00,3,prod_003_car_sa,car_sa,2025-01-01 06:02:00,2025-01-01 07:35:00,2025-01-01 12:38:31,397,304,9,0,9,100.0,False,
exp057,system_03,rear,a00,4,prod_004_car_rd,car_rd,2025-01-01 06:03:00,2025-01-01 07:06:00,2025-01-01 13:17:37,435,372,8,0,8,100.0,False,
exp057,system_03,rear,a00,5,prod_005_car_sa,car_sa,2025-01-01 06:04:00,2025-01-01 10:07:44,2025-01-01 16:00:34,597,353,9,0,9,100.0,False,
exp057,system_03,rear,a00,6,prod_006_car_rd,car_rd,2025-01-01 06:05:00,2025-01-01 07:17:48,2025-01-01 13:56:43,472,399,8,0,8,100.0,False,
exp057,system_03,rear,a00,7,prod_007_car_rd,car_rd,2025-01-01 06:06:00,2025-01-01 07:27:32,2025-01-01 14:35:49,510,428,8,0,8,100.0,False,
exp057,system_03,rear,a00,8,prod_008_car_sa,car_sa,2025-01-01 06:07:00,2025-01-01 10:33:41,2025-01-02 07:32:58,1526,1259,9,0,9,100.0,False,
exp057,system_03,rear,a00,9,prod_009_car_rd,car_rd,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 13:57:00,477,409,8,0,8,100.0,False,
exp057,system_03,rear,a00,10,prod_010_car_rd,car_rd,2025-01-02 06:01:00,2025-01-02 07:17:28,2025-01-02 14:36:06,515,439,8,0,8,100.0,False,
exp057,system_03,rear,a00,11,prod_011_car_sa,car_sa,2025-01-02 06:02:00,2025-01-02 07:11:52,2025-01-02 10:29:19,267,197,9,0,9,100.0,False,
exp057,system_03,rear,a00,12,prod_012_car_rd,car_rd,2025-01-02 06:03:00,2025-01-02 07:34:42,2025-01-02 15:15:12,552,460,8,0,8,100.0,False,
exp057,system_03,rear,a00,13,prod_013_car_rd,car_rd,2025-01-02 06:04:00,2025-01-02 07:51:12,2025-01-02 15:54:18,590,483,8,0,8,100.0,False,
exp057,system_03,rear,a00,14,prod_014_car_sa,car_sa,2025-01-02 06:05:00,2025-01-02 07:21:36,2025-01-02 11:58:46,354,277,9,0,9,100.0,False,
