exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp046,system_05,front,a02,1,prod_001_car_hd,car_hd,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 10:31:56,272,206,14,0,14,100.0,False,
exp046,system_05,front,a02,2,prod_002_car_hd,car_hd,2025-01-01 06:01:00,2025-01-01 07:10:08,2025-01-01 10:39:56,279,210,14,0,14,100.0,False,
exp046,system_05,front,a02,3,prod_003_car_tl,car_tl,2025-01-01 06:02:00,2025-01-01 07:15:44,2025-01-01 09:22:36,201,127,8,0,8,100.0,False,
exp046,system_05,front,a02,4,prod_004_car_tl,car_tl,2025-01-01 06:03:00,2025-01-01 07:19:52,2025-01-01 12:37:16,394,317,8,0,8,100.0,False,
exp046,system_05,front,a02,5,prod_005_car_hd,car_hd,2025-01-01 06:04:00,2025-01-01 07:25:28,2025-01-01 13:42:36,459,377,14,0,14,100.0,False,
exp046,system_05,front,a02,6,prod_006_car_tl,car_tl,2025-01-01 06:05:00,2025-01-01 07:33:36,2025-01-01 11:41:56,337,248,8,0,8,100.0,False,
exp046,system_05,front,a02,7,prod_007_car_hd,car_hd,2025-01-01 06:06:00,2025-01-01 07:37:44,2025-01-01 13:50:36,465,373,14,0,14,100.0,False,
exp046,system_05,front,a02,8,prod_008_car_hd,car_hd,2025-01-01 06:07:00,2025-01-01 07:43:20,2025-01-01 12:04:36,358,261,14,0,14,100.0,False,
exp046,system_05,front,a02,9,prod_009_car_tl,car_tl,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 08:30:18,150,83,8,0,8,100.0,False,
exp046,system_05,front,a02,10,prod_010_car_tl,car_tl,2025-01-02 06:01:00,2025-01-02 07:11:52,2025-01-02 09:00:58,180,109,8,0,8,100.0,False,
exp046,system_05,front,a02,11,prod_011_car_hd,car_hd,2025-01-02 06:02:00,2025-01-02 07:17:28,2025-01-02 10:53:38,292,216,14,0,14,100.0,False,
exp046,system_05,front,a02,12,prod_012_car_hd,car_hd,2025-01-02 06:03:00,2025-01-02 07:21:36,2025-01-02 12:22:58,380,301,14,0,14,100.0,False,
exp046,system_05,front,a02,13,prod_013_car_hd,car_hd,2025-01-02 06:04:00,2025-01-02 07:27:12,2025-01-02 13:10:58,427,344,14,0,14,100.0,False,
exp046,system_05,front,a02,14,prod_014_car_tl,car_tl,2025-01-02 06:05:00,2025-01-02 07:34:24,2025-01-02 09:36:58,212,123,8,0,8,100.0,False,
exp046,system_05,front,a02,15,prod_015_car_hd,car_hd,2025-01-02 06:06:00,2025-01-02 07:38:32,2025-01-02 11:46:58,341,248,14,0,14,100.0,False,
exp046,system_05,front,a02,16,prod_016_car_tl,car_tl,2025-01-02 06:07:00,2025-01-02 07:44:08,2025-01-02 11:58:18,351,254,8,0,8,100.0,False,
exp046,system_05,front,a02,17,prod_017_car_hd,car_hd,2025-01-03 06:00:00,2025-01-03 07:07:44,2025-01-03 10:34:58,275,207,14,0,14,100.0,False,
exp046,system_05,front,a02,18,prod_018_car_hd,car_hd,2025-01-03 06:01:00,2025-01-03 07:11:52,2025-01-03 10:42:58,282,211,14,0,14,100.0,False,
exp046,system_05,front,a02,19,prod_019_car_tl,car_tl,2025-01-03 06:02:00,2025-01-03 07:17:28,2025-01-03 09:09:38,188,112,8,0,8,100.0,False,
exp046,system_05,front,a02,20,prod_020_car_hd,car_hd,2025-01-03 06:03:00,2025-01-03 07:21:36,2025-01-03 12:50:58,408,329,14,0,14,100.0,False,
exp046,system_05,front,a02,21,prod_021_car_hd,car_hd,2025-01-03 06:04:00,2025-01-03 07:27:12,2025-01-03 14:02:58,479,396,14,0,14,100.0,False,
exp046,system_05,front,a02,22,prod_022_car_tl,car_tl,2025-01-03 06:05:00,2025-01-03 07:34:24,2025-01-03 11:38:58,334,245,8,0,8,100.0,False,
