exp_id,system,product_mix,automation_level,caseID,product_id,product_type,created_time,shopfloor_entry_time,system_exit_time,lead_time,shopfloor_time,target_components,missing_components,disassembled_components,completion_rate,has_remains,remains_content
exp035,system_01,front,a04,1,prod_001_car_hd,car_hd,2025-01-01 06:00:00,2025-01-01 07:06:00,2025-01-01 10:55:28,295,229,14,0,14,100.0,False,
exp035,system_01,front,a04,2,prod_002_car_hd,car_hd,2025-01-01 06:01:00,2025-01-01 07:12:04,2025-01-01 12:12:54,372,301,14,0,14,100.0,False,
exp035,system_01,front,a04,3,prod_003_car_tl,car_tl,2025-01-01 06:02:00,2025-01-01 07:17:04,2025-01-01 10:41:40,280,205,8,0,8,100.0,False,
exp035,system_01,front,a04,4,prod_004_car_tl,car_tl,2025-01-01 06:03:00,2025-01-01 07:22:04,2025-01-01 11:46:26,343,264,8,0,8,100.0,False,
exp035,system_01,front,a04,5,prod_005_car_hd,car_hd,2025-01-01 06:04:00,2025-01-01 08:22:44,2025-01-01 15:04:25,540,402,14,0,14,100.0,False,
exp035,system_01,front,a04,6,prod_006_car_tl,car_tl,2025-01-01 06:05:00,2025-01-01 09:34:46,2025-01-01 14:01:11,476,266,8,0,8,100.0,False,
exp035,system_01,front,a04,7,prod_007_car_hd,car_hd,2025-01-01 06:06:00,2025-01-01 10:44:44,2025-01-02 07:18:40,1513,1234,14,0,14,100.0,False,
exp035,system_01,front,a04,8,prod_008_car_hd,car_hd,2025-01-01 06:07:00,2025-01-01 11:49:30,2025-01-02 08:51:35,1605,1262,14,0,14,100.0,False,
exp035,system_01,front,a04,9,prod_009_car_tl,car_tl,2025-01-02 06:00:00,2025-01-02 07:07:44,2025-01-02 08:23:47,144,76,8,0,8,100.0,False,
exp035,system_01,front,a04,10,prod_010_car_tl,car_tl,2025-01-02 06:01:00,2025-01-02 07:20:24,2025-01-02 09:31:12,210,131,8,0,8,100.0,False,
exp035,system_01,front,a04,11,prod_011_car_hd,car_hd,2025-01-02 06:02:00,2025-01-02 07:32:12,2025-01-02 13:06:06,424,334,14,0,14,100.0,False,
exp035,system_01,front,a04,12,prod_012_car_hd,car_hd,2025-01-02 06:03:00,2025-01-02 07:42:40,2025-01-02 14:29:00,506,406,14,0,14,100.0,False,
exp035,system_01,front,a04,13,prod_013_car_hd,car_hd,2025-01-02 06:04:00,2025-01-02 08:26:51,2025-01-02 16:00:30,596,454,14,0,14,100.0,False,
exp035,system_01,front,a04,14,prod_014_car_tl,car_tl,2025-01-02 06:05:00,2025-01-02 09:34:16,2025-01-02 14:04:00,479,270,8,0,8,100.0,False,
exp035,system_01,front,a04,15,prod_015_car_hd,car_hd,2025-01-02 06:06:00,2025-01-02 10:38:21,2025-01-03 07:30:25,1524,1252,14,0,14,100.0,False,
exp035,system_01,front,a04,16,prod_016_car_tl,car_tl,2025-01-02 06:07:00,2025-01-02 11:49:50,2025-01-02 16:18:20,611,268,8,0,8,100.0,False,
exp035,system_01,front,a04,17,prod_017_car_hd,car_hd,2025-01-03 06:00:00,2025-01-03 07:07:44,2025-01-03 10:50:55,291,223,14,0,14,100.0,False,
exp035,system_01,front,a04,18,prod_018_car_hd,car_hd,2025-01-03 06:01:00,2025-01-03 07:18:24,2025-01-03 12:14:10,373,296,14,0,14,100.0,False,
exp035,system_01,front,a04,19,prod_019_car_tl,car_tl,2025-01-03 06:02:00,2025-01-03 07:39:24,2025-01-03 10:42:55,281,184,8,0,8,100.0,False,
exp035,system_01,front,a04,20,prod_020_car_hd,car_hd,2025-01-03 06:03:00,2025-01-03 07:47:44,2025-01-03 14:09:20,486,382,14,0,14,100.0,False,
exp035,system_01,front,a04,21,prod_021_car_hd,car_hd,2025-01-03 06:04:00,2025-01-03 08:23:31,2025-01-03 15:28:46,565,425,14,0,14,100.0,False,
exp035,system_01,front,a04,22,prod_022_car_tl,car_tl,2025-01-03 06:05:00,2025-01-03 09:35:00,2025-01-03 14:04:40,480,270,8,0,8,100.0,False,
exp035,system_01,front,a04,23,prod_023_car_hd,car_hd,2025-01-03 06:06:00,2025-01-03 10:57:19,2025-01-04 07:23:40,1518,1226,14,0,14,100.0,False,
exp035,system_01,front,a04,24,prod_024_car_hd,car_hd,2025-01-03 06:07:00,2025-01-03 11:47:10,2025-01-04 08:52:06,1605,1265,14,0,14,100.0,False,
exp035,system_01,front,a04,25,prod_025_car_hd,car_hd,2025-01-04 06:00:00,2025-01-04 07:07:44,2025-01-04 10:47:35,288,220,14,0,14,100.0,False,
exp035,system_01,front,a04,26,prod_026_car_hd,car_hd,2025-01-04 06:01:00,2025-01-04 07:12:04,2025-01-04 12:16:48,376,305,14,0,14,100.0,False,
exp035,system_01,front,a04,27,prod_027_car_hd,car_hd,2025-01-04 06:02:00,2025-01-04 07:25:24,2025-01-04 13:45:30,464,380,14,0,14,100.0,False,
exp035,system_01,front,a04,28,prod_028_car_tl,car_tl,2025-01-04 06:03:00,2025-01-04 07:39:12,2025-01-04 11:51:40,349,252,8,0,8,100.0,False,
exp035,system_01,front,a04,29,prod_029_car_hd,car_hd,2025-01-04 06:04:00,2025-01-04 08:24:31,2025-01-04 15:20:20,556,416,14,0,14,100.0,False,
exp035,system_01,front,a04,30,prod_030_car_hd,car_hd,2025-01-04 06:05:00,2025-01-04 09:35:00,2025-01-04 16:43:46,639,429,14,0,14,100.0,False,
exp035,system_01,front,a04,31,prod_031_car_hd,car_hd,2025-01-04 06:06:00,2025-01-04 10:49:19,2025-01-05 08:14:27,1568,1285,14,0,14,100.0,False,
exp035,system_01,front,a04,32,prod_032_car_hd,car_hd,2025-01-04 06:07:00,2025-01-04 11:54:44,2025-01-05 09:50:20,1663,1316,14,0,14,100.0,False,
exp035,system_01,front,a04,33,prod_033_car_tl,car_tl,2025-01-05 06:00:00,2025-01-05 07:07:44,2025-01-05 08:24:27,144,77,8,0,8,100.0,False,
exp035,system_01,front,a04,34,prod_034_car_tl,car_tl,2025-01-05 06:01:00,2025-01-05 07:22:12,2025-01-05 09:37:40,217,135,8,0,8,100.0,False,
