exp_id,system,product_mix,automation_level,caseID,product_id,product_type,station_id,component_name,step_name,quality,start_time,end_time,process_duration
exp084,system_01,sa_rd,a06,11,group_011_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_SSA_1/2,SSA,1.0,2025-01-02 11:41:18,2025-01-02 11:55:08,13.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-03_S1toS4,comp_015_BOSP_1/2,BOSP,1.0,2025-01-02 11:50:44,2025-01-02 11:59:34,8.8
exp084,system_01,sa_rd,a06,11,group_011_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_SSA_2/2,SSA,1.0,2025-01-02 11:56:08,2025-01-02 12:09:58,13.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-03_S1toS4,comp_015_BOSP_2/2,BOSP,1.0,2025-01-02 12:00:34,2025-01-02 12:09:24,8.8
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-03_S1toS4,comp_015_RT_1/2,RT,1.0,2025-01-02 12:10:24,2025-01-02 12:20:13,9.8
exp084,system_01,sa_rd,a06,11,group_011_FRONT_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_FAX,FAX,1.0,2025-01-02 12:10:58,2025-01-02 12:11:04,0.1
exp084,system_01,sa_rd,a06,11,group_011_REAR_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_CHS,CHS,1.0,2025-01-02 12:15:04,2025-01-02 12:28:04,13.0
exp084,system_01,sa_rd,a06,15,prod_015_car_rd,car_rd,ws-03_S1toS4,comp_015_RT_2/2,RT,1.0,2025-01-02 12:21:13,2025-01-02 12:31:03,9.8
exp084,system_01,sa_rd,a06,11,group_011_REAR_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_BSA_1/2,BSA,1.0,2025-01-02 12:29:04,2025-01-02 12:42:54,13.8
exp084,system_01,sa_rd,a06,16,prod_016_car_sa,car_sa,ws-03_S1toS4,comp_016_RT_1/2,RT,1.0,2025-01-02 12:36:03,2025-01-02 12:45:53,9.8
exp084,system_01,sa_rd,a06,11,group_011_REAR_AXIS_GROUP,car_hd,ws-05_S6S8,comp_011_BSA_2/2,BSA,1.0,2025-01-02 12:43:54,2025-01-02 12:57:44,13.8
