caseID,product_type,delivery_time,condition,target_components,missing_components
19,car_tl,2025-01-03T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
20,car_hd,2025-01-03T06:03:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
21,car_hd,2025-01-03T06:04:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
22,car_tl,2025-01-03T06:05:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
23,car_hd,2025-01-03T06:06:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
24,car_hd,2025-01-03T06:07:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
25,car_hd,2025-01-04T06:00:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
26,car_hd,2025-01-04T06:01:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
27,car_hd,2025-01-04T06:02:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
28,car_tl,2025-01-04T06:03:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""CRE"": 1}",[]
29,car_hd,2025-01-04T06:04:00,1.0,"{""BOSP"": 2, ""BAT"": 1, ""RT"": 2, ""FT"": 2, ""FRONT_AXIS_GROUP_SSA"": 2, ""FRONT_AXIS_GROUP_FAX"": 1, ""REAR_AXIS_GROUP_CHS"": 1, ""REAR_AXIS_GROUP_BSA"": 2, ""REAR_AXIS_GROUP_RAX_HD"": 1}",[]
