event_id,caseID,object_id,object_type,activity,activity_state,resource_id,resource_location,timestamp,related_objects
e005710,28,group_028_FRONT_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-04T16:08:18,comp_028_FAX:removed
e005711,28,comp_028_FAX,component,object,created,ws-05_S6S8,workstation,2025-01-04T16:08:18,group_group_028_FRONT_AXIS_GROUP:parent
e005712,32,comp_032_FT_2,component,buffer,enter,ws-03_S1toS4,outbuf_to_store,2025-01-04T16:08:21,
e005713,32,prod_032_car_hd,product,handling,end,ws-03_S1toS4,workstation,2025-01-04T16:08:21,
e005714,32,comp_032_FT_2,component,buffer,exit,ws-03_S1toS4,outbuf_to_store,2025-01-04T16:08:30,
e005715,28,comp_028_FAX,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-04T16:09:18,
e005716,28,group_028_REAR_AXIS_GROUP,group,buffer,exit,ws-05_S6S8,inbuf,2025-01-04T16:09:18,
e005717,32,prod_032_car_hd,product,buffer,enter,ws-03_S1toS4,outbuf_to_next,2025-01-04T16:09:21,
e005718,32,comp_032_FT_2,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:09:30,
e005719,32,comp_032_FT_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:10:10,
e005720,28,group_028_REAR_AXIS_GROUP,group,handling,start,ws-05_S6S8,workstation,2025-01-04T16:10:18,
e005721,32,comp_032_FT_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:11:10,
e005722,32,comp_032_FT_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:11:10,
e005723,32,comp_032_FT_2,component,system,exit,outgoing_storage,shipping,2025-01-04T16:11:10,
e005724,28,comp_028_SSA_2,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:11:50,
e005725,28,group_028_REAR_AXIS_GROUP,group,inspection,start,ws-05_S6S8,workstation,2025-01-04T16:12:18,
e005726,28,group_028_REAR_AXIS_GROUP,group,inspection,complete,ws-05_S6S8,workstation,2025-01-04T16:12:18,comp_028_CHS:identified_mandatory_blocking
e005727,28,group_028_REAR_AXIS_GROUP,group,inspection,complete,ws-05_S6S8,workstation,2025-01-04T16:12:18,comp_028_BSA:identified_qty2_blocking
e005728,28,group_028_REAR_AXIS_GROUP,group,inspection,complete,ws-05_S6S8,workstation,2025-01-04T16:12:18,comp_028_RAX_HD:identified
e005729,28,group_028_REAR_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-04T16:12:18,comp_028_CHS:target
e005730,28,comp_028_SSA_2,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:12:50,
e005731,28,comp_028_SSA_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:13:30,
e005732,28,comp_028_SSA_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:14:30,
e005733,28,comp_028_SSA_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:14:30,
e005734,28,comp_028_SSA_2,component,system,exit,outgoing_storage,shipping,2025-01-04T16:14:30,
e005735,32,prod_032_car_hd,product,buffer,exit,ws-03_S1toS4,outbuf_to_next,2025-01-04T16:15:10,
e005736,32,prod_032_car_hd,product,transport,load,logistics_resource_01,vehicle,2025-01-04T16:16:10,
e005737,32,prod_032_car_hd,product,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:17:00,
e005738,32,prod_032_car_hd,product,buffer,enter,ws-04_S5S7,inbuf,2025-01-04T16:18:00,
e005739,32,prod_032_car_hd,product,buffer,exit,ws-04_S5S7,inbuf,2025-01-04T16:18:00,
e005740,30,group_030_FRONT_AXIS_GROUP,group,buffer,exit,ws-04_S5S7,outbuf_to_next,2025-01-04T16:18:00,
e005741,30,group_030_FRONT_AXIS_GROUP,group,transport,load,logistics_resource_01,vehicle,2025-01-04T16:19:00,
e005742,32,prod_032_car_hd,product,handling,start,ws-04_S5S7,workstation,2025-01-04T16:19:00,
e005743,30,group_030_FRONT_AXIS_GROUP,group,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:19:50,
e005744,30,group_030_FRONT_AXIS_GROUP,group,buffer,enter,ws-05_S6S8,inbuf,2025-01-04T16:20:50,
e005745,28,comp_028_FAX,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:20:50,
e005746,32,prod_032_car_hd,product,inspection,start,ws-04_S5S7,workstation,2025-01-04T16:21:00,
e005747,32,prod_032_car_hd,product,inspection,complete,ws-04_S5S7,workstation,2025-01-04T16:21:00,group_032_FRONT_AXIS_GROUP:identified_blocking
e005748,32,prod_032_car_hd,product,inspection,complete,ws-04_S5S7,workstation,2025-01-04T16:21:00,group_032_REAR_AXIS_GROUP:identified
e005749,32,prod_032_car_hd,product,disassembly,start,ws-04_S5S7,workstation,2025-01-04T16:21:00,group_032_FRONT_AXIS_GROUP:target
e005750,28,comp_028_FAX,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:21:50,
e005751,28,comp_028_FAX,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:22:30,
e005752,28,comp_028_FAX,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:23:30,
e005753,28,comp_028_FAX,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:23:30,
e005754,28,comp_028_FAX,component,system,exit,outgoing_storage,shipping,2025-01-04T16:23:30,
e005755,28,group_028_REAR_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-04T16:25:18,comp_028_CHS:removed
e005756,28,comp_028_CHS,component,object,created,ws-05_S6S8,workstation,2025-01-04T16:25:18,group_group_028_REAR_AXIS_GROUP:parent
e005757,28,comp_028_CHS,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-04T16:26:18,
e005758,28,group_028_REAR_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-04T16:26:18,comp_028_BSA_1/2:target
e005759,28,comp_028_CHS,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:26:58,
e005760,28,comp_028_CHS,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:27:58,
e005761,28,comp_028_CHS,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:28:38,
e005762,28,comp_028_CHS,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:29:38,
e005763,28,comp_028_CHS,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:29:38,
e005764,28,comp_028_CHS,component,system,exit,outgoing_storage,shipping,2025-01-04T16:29:38,
e005765,32,prod_032_car_hd,product,disassembly,complete,ws-04_S5S7,workstation,2025-01-04T16:37:10,group_032_FRONT_AXIS_GROUP:removed
e005766,32,group_032_FRONT_AXIS_GROUP,group,handling,done,ws-04_S5S7,workstation,2025-01-04T16:37:10,
e005767,32,group_032_FRONT_AXIS_GROUP,group,buffer,enter,ws-04_S5S7,outbuf_to_next,2025-01-04T16:38:10,
e005768,32,prod_032_car_hd,product,disassembly,start,ws-04_S5S7,workstation,2025-01-04T16:38:10,group_032_REAR_AXIS_GROUP:target
e005769,32,prod_032_car_hd,product,disassembly,complete,ws-04_S5S7,workstation,2025-01-04T16:38:16,group_032_REAR_AXIS_GROUP:removed
e005770,32,group_032_REAR_AXIS_GROUP,group,handling,done,ws-04_S5S7,workstation,2025-01-04T16:38:16,
e005771,32,group_032_REAR_AXIS_GROUP,group,buffer,enter,ws-04_S5S7,outbuf_to_next,2025-01-04T16:39:16,
e005772,28,group_028_REAR_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-04T16:40:07,comp_028_BSA_1/2:removed
e005773,28,comp_028_BSA_1,component,object,created,ws-05_S6S8,workstation,2025-01-04T16:40:07,group_group_028_REAR_AXIS_GROUP:parent
e005774,28,comp_028_BSA_1,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-04T16:41:07,
e005775,28,group_028_REAR_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-04T16:41:07,comp_028_BSA_2/2:target
e005776,28,comp_028_BSA_1,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:41:47,
e005777,28,comp_028_BSA_1,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:42:47,
e005778,28,comp_028_BSA_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:43:27,
e005779,28,comp_028_BSA_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:44:27,
e005780,28,comp_028_BSA_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:44:27,
e005781,28,comp_028_BSA_1,component,system,exit,outgoing_storage,shipping,2025-01-04T16:44:27,
e005782,28,group_028_REAR_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-04T16:54:57,comp_028_BSA_2/2:removed
e005783,28,comp_028_BSA_2,component,object,created,ws-05_S6S8,workstation,2025-01-04T16:54:57,group_group_028_REAR_AXIS_GROUP:parent
e005784,28,comp_028_BSA_2,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-04T16:55:57,
e005785,28,group_028_REAR_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-04T16:55:57,comp_028_RAX_HD:target
e005786,28,group_028_REAR_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-04T16:56:03,comp_028_RAX_HD:removed
e005787,28,comp_028_RAX_HD,component,object,created,ws-05_S6S8,workstation,2025-01-04T16:56:03,group_group_028_REAR_AXIS_GROUP:parent
e005788,28,comp_028_BSA_2,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:56:37,
e005789,28,comp_028_RAX_HD,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-04T16:57:03,
e005790,29,group_029_FRONT_AXIS_GROUP,group,buffer,exit,ws-05_S6S8,inbuf,2025-01-04T16:57:03,
e005791,28,comp_028_BSA_2,component,transport,load,logistics_resource_01,vehicle,2025-01-04T16:57:37,
e005792,29,group_029_FRONT_AXIS_GROUP,group,handling,start,ws-05_S6S8,workstation,2025-01-04T16:58:03,
e005793,28,comp_028_BSA_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T16:58:17,
e005794,28,comp_028_BSA_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T16:59:17,
e005795,28,comp_028_BSA_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T16:59:17,
e005796,28,comp_028_BSA_2,component,system,exit,outgoing_storage,shipping,2025-01-04T16:59:17,
e005797,28,comp_028_RAX_HD,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-04T16:59:57,
e005798,29,group_029_FRONT_AXIS_GROUP,group,inspection,start,ws-05_S6S8,workstation,2025-01-04T17:00:03,
e005799,29,group_029_FRONT_AXIS_GROUP,group,inspection,complete,ws-05_S6S8,workstation,2025-01-04T17:00:03,comp_029_SSA:identified_qty2_mandatory_blocking
e005800,29,group_029_FRONT_AXIS_GROUP,group,inspection,complete,ws-05_S6S8,workstation,2025-01-04T17:00:03,comp_029_FAX:identified
e005801,29,group_029_FRONT_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-04T17:00:03,comp_029_SSA_1/2:target
e005802,28,comp_028_RAX_HD,component,transport,load,logistics_resource_01,vehicle,2025-01-04T17:00:57,
e005803,28,comp_028_RAX_HD,component,transport,unload,logistics_resource_01,vehicle,2025-01-04T17:01:37,
e005804,28,comp_028_RAX_HD,component,buffer,enter,outgoing_storage,inbuf,2025-01-04T17:02:37,
e005805,28,comp_028_RAX_HD,component,buffer,exit,outgoing_storage,inbuf,2025-01-04T17:02:37,
e005806,28,comp_028_RAX_HD,component,system,exit,outgoing_storage,shipping,2025-01-04T17:02:37,
e005807,33,prod_033_car_hd,product,object,created,source,generator,2025-01-05T06:00:00,
e005808,33,prod_033_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:00:00,
e005809,33,prod_033_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:00:00,
e005810,34,prod_034_car_hd,product,object,created,source,generator,2025-01-05T06:01:00,
e005811,34,prod_034_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:01:00,
e005812,34,prod_034_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:01:00,
e005813,35,prod_035_car_hd,product,object,created,source,generator,2025-01-05T06:02:00,
e005814,35,prod_035_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:02:00,
e005815,35,prod_035_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:02:00,
e005816,36,prod_036_car_hd,product,object,created,source,generator,2025-01-05T06:03:00,
e005817,36,prod_036_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:03:00,
e005818,36,prod_036_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:03:00,
e005819,37,prod_037_car_hd,product,object,created,source,generator,2025-01-05T06:04:00,
e005820,37,prod_037_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:04:00,
e005821,37,prod_037_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:04:00,
e005822,38,prod_038_car_hd,product,object,created,source,generator,2025-01-05T06:05:00,
e005823,38,prod_038_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:05:00,
e005824,38,prod_038_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:05:00,
e005825,39,prod_039_car_hd,product,object,created,source,generator,2025-01-05T06:06:00,
e005826,39,prod_039_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:06:00,
e005827,39,prod_039_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:06:00,
e005828,40,prod_040_car_hd,product,object,created,source,generator,2025-01-05T06:07:00,
e005829,40,prod_040_car_hd,product,system,entry,incoming_storage,entry,2025-01-05T06:07:00,
e005830,40,prod_040_car_hd,product,storage,enter,incoming_storage,outbuf_to_next,2025-01-05T06:07:00,
e005831,33,prod_033_car_hd,product,buffer,exit,incoming_storage,outbuf_to_next,2025-01-05T07:07:44,
e005832,33,prod_033_car_hd,product,transport,load,logistics_resource_01,vehicle,2025-01-05T07:08:44,
e005833,33,prod_033_car_hd,product,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:09:48,
e005834,33,prod_033_car_hd,product,buffer,enter,ws-03_S1toS4,inbuf,2025-01-05T07:10:48,
e005835,33,prod_033_car_hd,product,buffer,exit,ws-03_S1toS4,inbuf,2025-01-05T07:10:48,
e005836,30,group_030_REAR_AXIS_GROUP,group,buffer,exit,ws-04_S5S7,outbuf_to_next,2025-01-05T07:11:38,
e005837,33,prod_033_car_hd,product,handling,start,ws-03_S1toS4,workstation,2025-01-05T07:11:48,
e005838,30,group_030_REAR_AXIS_GROUP,group,transport,load,logistics_resource_01,vehicle,2025-01-05T07:12:38,
e005839,30,group_030_REAR_AXIS_GROUP,group,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:13:28,
e005840,33,prod_033_car_hd,product,inspection,start,ws-03_S1toS4,workstation,2025-01-05T07:13:48,
e005841,33,prod_033_car_hd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-05T07:13:48,comp_033_BOSP:identified_qty2_mandatory_blocking
e005842,33,prod_033_car_hd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-05T07:13:48,comp_033_BAT:identified_mandatory_blocking
e005843,33,prod_033_car_hd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-05T07:13:48,comp_033_RT:identified_qty2_mandatory_blocking
e005844,33,prod_033_car_hd,product,inspection,complete,ws-03_S1toS4,workstation,2025-01-05T07:13:48,comp_033_FT:identified_qty2_mandatory_blocking
e005845,33,prod_033_car_hd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-05T07:13:48,comp_033_BOSP_1/2:target
e005846,29,group_029_FRONT_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-05T07:13:49,comp_029_SSA_1/2:removed
e005847,29,comp_029_SSA_1,component,object,created,ws-05_S6S8,workstation,2025-01-05T07:13:49,group_group_029_FRONT_AXIS_GROUP:parent
e005848,30,group_030_REAR_AXIS_GROUP,group,buffer,enter,ws-05_S6S8,inbuf,2025-01-05T07:14:28,
e005849,29,comp_029_SSA_1,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-05T07:14:49,
e005850,29,group_029_FRONT_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-05T07:14:49,comp_029_SSA_2/2:target
e005851,34,prod_034_car_hd,product,buffer,exit,incoming_storage,outbuf_to_next,2025-01-05T07:17:04,
e005852,34,prod_034_car_hd,product,transport,load,logistics_resource_01,vehicle,2025-01-05T07:18:04,
e005853,34,prod_034_car_hd,product,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:19:08,
e005854,34,prod_034_car_hd,product,buffer,enter,ws-03_S1toS4,inbuf,2025-01-05T07:20:08,
e005855,29,comp_029_SSA_1,component,buffer,exit,ws-05_S6S8,outbuf_to_store,2025-01-05T07:21:48,
e005856,33,prod_033_car_hd,product,disassembly,complete,ws-03_S1toS4,workstation,2025-01-05T07:22:37,comp_033_BOSP_1/2:removed
e005857,33,comp_033_BOSP_1,component,object,created,ws-03_S1toS4,workstation,2025-01-05T07:22:37,prod_033_car_hd:parent
e005858,29,comp_029_SSA_1,component,transport,load,logistics_resource_01,vehicle,2025-01-05T07:22:48,
e005859,29,comp_029_SSA_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:23:28,
e005860,33,comp_033_BOSP_1,component,buffer,enter,ws-03_S1toS4,outbuf_to_store,2025-01-05T07:23:37,
e005861,33,prod_033_car_hd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-05T07:23:37,comp_033_BOSP_2/2:target
e005862,29,comp_029_SSA_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T07:24:28,
e005863,29,comp_029_SSA_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T07:24:28,
e005864,29,comp_029_SSA_1,component,system,exit,outgoing_storage,shipping,2025-01-05T07:24:28,
e005865,35,prod_035_car_hd,product,buffer,exit,incoming_storage,outbuf_to_next,2025-01-05T07:27:32,
e005866,35,prod_035_car_hd,product,transport,load,logistics_resource_01,vehicle,2025-01-05T07:28:32,
e005867,29,group_029_FRONT_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-05T07:28:39,comp_029_SSA_2/2:removed
e005868,29,comp_029_SSA_2,component,object,created,ws-05_S6S8,workstation,2025-01-05T07:28:39,group_group_029_FRONT_AXIS_GROUP:parent
e005869,35,prod_035_car_hd,product,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:29:36,
e005870,29,comp_029_SSA_2,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-05T07:29:39,
e005871,29,group_029_FRONT_AXIS_GROUP,group,disassembly,start,ws-05_S6S8,workstation,2025-01-05T07:29:39,comp_029_FAX:target
e005872,29,group_029_FRONT_AXIS_GROUP,group,disassembly,complete,ws-05_S6S8,workstation,2025-01-05T07:29:45,comp_029_FAX:removed
e005873,29,comp_029_FAX,component,object,created,ws-05_S6S8,workstation,2025-01-05T07:29:45,group_group_029_FRONT_AXIS_GROUP:parent
e005874,35,prod_035_car_hd,product,buffer,enter,ws-03_S1toS4,inbuf,2025-01-05T07:30:36,
e005875,33,comp_033_BOSP_1,component,buffer,exit,ws-03_S1toS4,outbuf_to_store,2025-01-05T07:30:36,
e005876,29,comp_029_FAX,component,buffer,enter,ws-05_S6S8,outbuf_to_store,2025-01-05T07:30:45,
e005877,29,group_029_REAR_AXIS_GROUP,group,buffer,exit,ws-05_S6S8,inbuf,2025-01-05T07:30:45,
e005878,33,comp_033_BOSP_1,component,transport,load,logistics_resource_01,vehicle,2025-01-05T07:31:36,
e005879,29,group_029_REAR_AXIS_GROUP,group,handling,start,ws-05_S6S8,workstation,2025-01-05T07:31:45,
e005880,33,comp_033_BOSP_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T07:32:16,
e005881,33,prod_033_car_hd,product,disassembly,complete,ws-03_S1toS4,workstation,2025-01-05T07:32:27,comp_033_BOSP_2/2:removed
e005882,33,comp_033_BOSP_2,component,object,created,ws-03_S1toS4,workstation,2025-01-05T07:32:27,prod_033_car_hd:parent
e005883,33,comp_033_BOSP_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T07:33:16,
e005884,33,comp_033_BOSP_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T07:33:16,
e005885,33,comp_033_BOSP_1,component,system,exit,outgoing_storage,shipping,2025-01-05T07:33:16,
e005886,33,comp_033_BOSP_2,component,buffer,enter,ws-03_S1toS4,outbuf_to_store,2025-01-05T07:33:27,
e005887,33,prod_033_car_hd,product,disassembly,start,ws-03_S1toS4,workstation,2025-01-05T07:33:27,comp_033_BAT:target
e005888,29,group_029_REAR_AXIS_GROUP,group,inspection,start,ws-05_S6S8,workstation,2025-01-05T07:33:45,
