event_id,caseID,object_id,object_type,activity,activity_state,resource_id,resource_location,timestamp,related_objects
e005216,37,comp_037_BAT,component,buffer,exit,ws-01_S1toS8,outbuf_to_store,2025-01-05T09:08:12,
e005217,38,prod_038_car_tl,product,disassembly,complete,ws-02_S1toS8,workstation,2025-01-05T09:08:25,comp_038_BAT:removed
e005218,38,comp_038_BAT,component,object,created,ws-02_S1toS8,workstation,2025-01-05T09:08:25,prod_038_car_tl:parent
e005219,37,comp_037_BAT,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:09:12,
e005220,38,comp_038_BAT,component,buffer,enter,ws-02_S1toS8,outbuf_to_store,2025-01-05T09:09:25,
e005221,38,prod_038_car_tl,product,disassembly,start,ws-02_S1toS8,workstation,2025-01-05T09:09:25,comp_038_RT_1/2:target
e005222,37,comp_037_BAT,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:09:52,
e005223,37,comp_037_BAT,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:10:52,
e005224,37,comp_037_BAT,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:10:52,
e005225,37,comp_037_BAT,component,system,exit,outgoing_storage,shipping,2025-01-05T09:10:52,
e005226,36,prod_036_car_hd,product,disassembly,complete,ws-04_S1toS8,workstation,2025-01-05T09:10:54,group_036_FRONT_AXIS_GROUP:removed
e005227,36,group_036_FRONT_AXIS_GROUP,group,object,created,ws-04_S1toS8,workstation,2025-01-05T09:10:54,prod_036_car_hd:parent
e005228,36,prod_036_car_hd,product,disassembly,start,ws-04_S1toS8,workstation,2025-01-05T09:10:54,group_036_REAR_AXIS_GROUP:target
e005229,36,prod_036_car_hd,product,disassembly,complete,ws-04_S1toS8,workstation,2025-01-05T09:11:00,group_036_REAR_AXIS_GROUP:removed
e005230,36,group_036_REAR_AXIS_GROUP,group,object,created,ws-04_S1toS8,workstation,2025-01-05T09:11:00,prod_036_car_hd:parent
e005231,36,group_036_FRONT_AXIS_GROUP,group,inspection,start,ws-04_S1toS8,workstation,2025-01-05T09:11:00,
e005232,36,group_036_FRONT_AXIS_GROUP,group,inspection,complete,ws-04_S1toS8,workstation,2025-01-05T09:11:00,comp_036_SSA:identified_qty2_mandatory_blocking
e005233,36,group_036_FRONT_AXIS_GROUP,group,inspection,complete,ws-04_S1toS8,workstation,2025-01-05T09:11:00,comp_036_FAX:identified
e005234,36,group_036_FRONT_AXIS_GROUP,group,disassembly,start,ws-04_S1toS8,workstation,2025-01-05T09:11:00,comp_036_SSA_1/2:target
e005235,38,comp_038_BAT,component,buffer,exit,ws-02_S1toS8,outbuf_to_store,2025-01-05T09:12:52,
e005236,38,comp_038_BAT,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:13:52,
e005237,38,comp_038_BAT,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:14:32,
e005238,38,comp_038_BAT,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:15:32,
e005239,38,comp_038_BAT,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:15:32,
e005240,38,comp_038_BAT,component,system,exit,outgoing_storage,shipping,2025-01-05T09:15:32,
e005241,37,prod_037_car_tl,product,disassembly,complete,ws-01_S1toS8,workstation,2025-01-05T09:15:43,comp_037_RT_1/2:removed
e005242,37,comp_037_RT_1,component,object,created,ws-01_S1toS8,workstation,2025-01-05T09:15:43,prod_037_car_tl:parent
e005243,37,comp_037_RT_1,component,buffer,enter,ws-01_S1toS8,outbuf_to_store,2025-01-05T09:16:43,
e005244,37,prod_037_car_tl,product,disassembly,start,ws-01_S1toS8,workstation,2025-01-05T09:16:43,comp_037_RT_2/2:target
e005245,35,comp_035_BOSP_1,component,buffer,exit,ws-03_S1toS8,outbuf_to_store,2025-01-05T09:17:32,
e005246,35,comp_035_BOSP_1,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:18:32,
e005247,35,comp_035_BOSP_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:19:12,
e005248,35,comp_035_BOSP_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:20:12,
e005249,35,comp_035_BOSP_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:20:12,
e005250,35,comp_035_BOSP_1,component,system,exit,outgoing_storage,shipping,2025-01-05T09:20:12,
e005251,38,prod_038_car_tl,product,disassembly,complete,ws-02_S1toS8,workstation,2025-01-05T09:20:35,comp_038_RT_1/2:removed
e005252,38,comp_038_RT_1,component,object,created,ws-02_S1toS8,workstation,2025-01-05T09:20:35,prod_038_car_tl:parent
e005253,37,comp_037_RT_1,component,buffer,exit,ws-01_S1toS8,outbuf_to_store,2025-01-05T09:20:52,
e005254,38,comp_038_RT_1,component,buffer,enter,ws-02_S1toS8,outbuf_to_store,2025-01-05T09:21:35,
e005255,38,prod_038_car_tl,product,disassembly,start,ws-02_S1toS8,workstation,2025-01-05T09:21:35,comp_038_RT_2/2:target
e005256,37,comp_037_RT_1,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:21:52,
e005257,37,comp_037_RT_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:22:32,
e005258,37,comp_037_RT_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:23:32,
e005259,37,comp_037_RT_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:23:32,
e005260,37,comp_037_RT_1,component,system,exit,outgoing_storage,shipping,2025-01-05T09:23:32,
e005261,38,comp_038_RT_1,component,buffer,exit,ws-02_S1toS8,outbuf_to_store,2025-01-05T09:25:32,
e005262,38,comp_038_RT_1,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:26:32,
e005263,38,comp_038_RT_1,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T09:27:12,
e005264,37,prod_037_car_tl,product,disassembly,complete,ws-01_S1toS8,workstation,2025-01-05T09:27:54,comp_037_RT_2/2:removed
e005265,37,comp_037_RT_2,component,object,created,ws-01_S1toS8,workstation,2025-01-05T09:27:54,prod_037_car_tl:parent
e005266,35,group_035_FRONT_AXIS_GROUP,group,disassembly,complete,ws-03_S1toS8,workstation,2025-01-05T09:27:57,comp_035_SSA_1/2:removed
e005267,35,comp_035_SSA_1,component,object,created,ws-03_S1toS8,workstation,2025-01-05T09:27:57,group_group_035_FRONT_AXIS_GROUP:parent
e005268,38,comp_038_RT_1,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T09:28:12,
e005269,38,comp_038_RT_1,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T09:28:12,
e005270,38,comp_038_RT_1,component,system,exit,outgoing_storage,shipping,2025-01-05T09:28:12,
e005271,37,comp_037_RT_2,component,buffer,enter,ws-01_S1toS8,outbuf_to_store,2025-01-05T09:28:54,
e005272,37,prod_037_car_tl,product,disassembly,start,ws-01_S1toS8,workstation,2025-01-05T09:28:54,comp_037_FT_1/2:target
e005273,35,comp_035_SSA_1,component,buffer,enter,ws-03_S1toS8,outbuf_to_store,2025-01-05T09:28:57,
e005274,35,group_035_FRONT_AXIS_GROUP,group,disassembly,start,ws-03_S1toS8,workstation,2025-01-05T09:28:57,comp_035_SSA_2/2:target
e005275,35,comp_035_BOSP_2,component,buffer,exit,ws-03_S1toS8,outbuf_to_store,2025-01-05T09:30:12,
e005276,35,comp_035_BOSP_2,component,transport,load,logistics_resource_01,vehicle,2025-01-05T09:31:12,
