event_id,caseID,object_id,object_type,activity,activity_state,resource_id,resource_location,timestamp,related_objects
e004257,35,comp_035_FT_2,component,buffer,exit,ws-03_S1toS4,outbuf_to_store,2025-01-05T10:16:54,
e004258,35,prod_035_car_sa,product,buffer,enter,ws-03_S1toS4,outbuf_to_next,2025-01-05T10:17:14,
e004259,36,prod_036_car_rd,product,buffer,exit,ws-03_S1toS4,inbuf,2025-01-05T10:17:14,
e004260,35,comp_035_FT_2,component,transport,load,logistics_resource_01,vehicle,2025-01-05T10:17:54,
e004261,36,prod_036_car_rd,product,handling,start,ws-03_S1toS4,workstation,2025-01-05T10:18:14,
e004262,35,comp_035_FT_2,component,transport,unload,logistics_resource_01,vehicle,2025-01-05T10:18:34,
e004263,35,comp_035_FT_2,component,buffer,enter,outgoing_storage,inbuf,2025-01-05T10:19:34,
e004264,35,comp_035_FT_2,component,buffer,exit,outgoing_storage,inbuf,2025-01-05T10:19:34,
e004265,35,comp_035_FT_2,component,system,exit,outgoing_storage,shipping,2025-01-05T10:19:34,
e004266,36,prod_036_car_rd,product,inspection,start,ws-03_S1toS4,workstation,2025-01-05T10:20:14,
