exp_id,system,step_id,components,product_mix,automation_level,product_type,n_components,total_electricity,total_circularity,total_profit,total_revenue,total_cost,mean_electricity,mean_circularity,mean_profit,mean_revenue,mean_cost
exp005,system_01,1,BOSP,balanced,a00,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp005,system_01,2,RT,balanced,a00,car_rd,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp005,system_01,3,CORE,balanced,a00,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp005,system_01,4,"BSA, RAX_RD",balanced,a00,car_rd,30,5.05,2899.8,60866.3,61740,873.7,0.17,96.66,2028.88,2058.0,29.12
exp005,system_01,1,RT,balanced,a00,car_sa,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp005,system_01,2,FT,balanced,a00,car_sa,20,2.0,1082.0,41376.6,41740,363.4,0.1,54.1,2068.83,2087.0,18.17
exp005,system_01,3,SSA,balanced,a00,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp005,system_01,4,"BSA, CSEB-NABS",balanced,a00,car_sa,30,2.8,1866.0,41778.7,42260,481.3,0.09,62.2,1392.62,1408.67,16.04
exp005,system_01,1,BOSP,balanced,a00,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp005,system_01,2,BAT,balanced,a00,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp005,system_01,3,RT,balanced,a00,car_tl,20,1.8,1584.0,44894.4,45220,325.6,0.09,79.2,2244.72,2261.0,16.28
exp005,system_01,4,"CRE, FT",balanced,a00,car_tl,30,2.0,1082.0,41375.1,41740,364.9,0.07,36.07,1379.17,1391.33,12.16
exp006,system_01,1,BOSP,balanced,a02,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp006,system_01,2,BAT,balanced,a02,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp006,system_01,3,RT,balanced,a02,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp006,system_01,4,FT,balanced,a02,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp006,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a02,car_hd,20,2.0,3673.0,86617.0,86960,343.0,0.1,183.65,4330.85,4348.0,17.15
exp006,system_01,5_1_1,"FAX, SSA",balanced,a02,car_hd,30,3.6,496.2,19704.9,20340,635.1,0.12,16.54,656.83,678.0,21.17
exp006,system_01,5_2_1,CHS,balanced,a02,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp006,system_01,5_2_2,"BSA, RAX_HD",balanced,a02,car_hd,30,2.8,909.0,26478.7,26960,481.3,0.09,30.3,882.62,898.67,16.04
exp006,system_01,1,BOSP,balanced,a02,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp006,system_01,2,RT,balanced,a02,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp006,system_01,3,CORE,balanced,a02,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp006,system_01,4,"BSA, RAX_RD",balanced,a02,car_rd,30,5.05,2899.8,60866.3,61740,873.7,0.17,96.66,2028.88,2058.0,29.12
exp006,system_01,1,RT,balanced,a02,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp006,system_01,2,FT,balanced,a02,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp006,system_01,3,SSA,balanced,a02,car_sa,20,3.6,48.8,6666.4,7300,633.6,0.18,2.44,333.32,365.0,31.68
exp006,system_01,4,"BSA, CSEB-NABS",balanced,a02,car_sa,30,2.8,1866.0,41778.7,42260,481.3,0.09,62.2,1392.62,1408.67,16.04
exp006,system_01,1,BOSP,balanced,a02,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp006,system_01,2,BAT,balanced,a02,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp006,system_01,3,RT,balanced,a02,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp006,system_01,4,"CRE, FT",balanced,a02,car_tl,30,1.0,1082.0,41564.1,41740,175.9,0.03,36.07,1385.47,1391.33,5.86
exp007,system_01,1,BOSP,balanced,a04,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp007,system_01,2,BAT,balanced,a04,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp007,system_01,3,RT,balanced,a04,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp007,system_01,4,FT,balanced,a04,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp007,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a04,car_hd,20,2.0,3673.0,86617.0,86960,343.0,0.1,183.65,4330.85,4348.0,17.15
exp007,system_01,5_1_1,"FAX, SSA",balanced,a04,car_hd,30,2.4,496.2,19937.3,20340,402.7,0.08,16.54,664.58,678.0,13.42
exp007,system_01,5_2_1,CHS,balanced,a04,car_hd,10,1.7,2316.0,48397.7,48700,302.3,0.17,231.6,4839.77,4870.0,30.23
exp007,system_01,5_2_2,"BSA, RAX_HD",balanced,a04,car_hd,30,2.4,909.0,26557.3,26960,402.7,0.08,30.3,885.24,898.67,13.42
exp007,system_01,1,BOSP,balanced,a04,car_rd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp007,system_01,2,RT,balanced,a04,car_rd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp007,system_01,3,CORE,balanced,a04,car_rd,10,1.7,3360.0,95347.7,95650,302.3,0.17,336.0,9534.77,9565.0,30.23
exp007,system_01,4,"BSA, RAX_RD",balanced,a04,car_rd,30,2.4,2899.8,61337.3,61740,402.7,0.08,96.66,2044.58,2058.0,13.42
exp007,system_01,1,RT,balanced,a04,car_sa,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp007,system_01,2,FT,balanced,a04,car_sa,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp007,system_01,3,SSA,balanced,a04,car_sa,20,2.4,48.8,6898.8,7300,401.2,0.12,2.44,344.94,365.0,20.06
exp007,system_01,4,"BSA, CSEB-NABS",balanced,a04,car_sa,30,2.4,1866.0,41857.3,42260,402.7,0.08,62.2,1395.24,1408.67,13.42
exp007,system_01,1,BOSP,balanced,a04,car_tl,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp007,system_01,2,BAT,balanced,a04,car_tl,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp007,system_01,3,RT,balanced,a04,car_tl,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp007,system_01,4,"CRE, FT",balanced,a04,car_tl,30,1.0,1082.0,41564.1,41740,175.9,0.03,36.07,1385.47,1391.33,5.86
exp008,system_01,1,BOSP,balanced,a06,car_hd,20,1.4,251.8,15044.2,15300,255.8,0.07,12.59,752.21,765.0,12.79
exp008,system_01,2,BAT,balanced,a06,car_hd,10,0.6,2217.0,36418.3,36520,101.7,0.06,221.7,3641.83,3652.0,10.17
exp008,system_01,3,RT,balanced,a06,car_hd,20,1.6,1584.0,44935.2,45220,284.8,0.08,79.2,2246.76,2261.0,14.24
exp008,system_01,4,FT,balanced,a06,car_hd,20,1.0,1082.0,41565.6,41740,174.4,0.05,54.1,2078.28,2087.0,8.72
exp008,system_01,5,"FRONT_AXIS_GROUP, REAR_AXIS_GROUP",balanced,a06,car_hd,20,1.3,3673.0,86723.1,86960,236.9,0.06,183.65,4336.16,4348.0,11.84
exp008,system_01,5_1_1,"FAX, SSA",balanced,a06,car_hd,30,2.4,496.2,19937.3,20340,402.7,0.08,16.54,664.58,678.0,13.42
