system,step_id,product_type,branch_id,step_profit,step_revenue,step_cost,components,is_passive
system_05,4,car_rd,main,5238.83,5261.0,22.169999999999998,"BSA, RAX_RD",False
system_05,0,car_sa,main,0.0,0.0,0.0,CAR,False
system_05,1,car_sa,main,2246.25,2261.0,14.75,RT,False
system_05,2,car_sa,main,2075.92,2087.0,11.08,FT,False
system_05,3,car_sa,main,339.13,365.0,25.87,SSA,False
system_05,4,car_sa,main,3290.83,3313.0,22.169999999999998,"BSA, CSEB-NABS",False
system_05,0,car_tl,main,0.0,0.0,0.0,CAR,False
system_05,1,car_tl,main,752.21,765.0,12.79,BOSP,False
system_05,2,car_tl,main,3641.83,3652.0,10.17,BAT,False
system_05,3,car_tl,main,2246.25,2261.0,14.75,RT,False
system_05,4,car_tl,main,2075.77,2087.0,11.23,"CRE, FT",False
