exp_id,system,system_type,division_type,num_stations,product_mix,automation_level,hd_count,tl_count,sa_count,rd_count,total_cars,hd_depth,tl_depth,sa_depth,rd_depth,total_planned_components,depth_degree,S1_BOSP,S2_BAT,S3_RT,S4_FT,S5_FAXS,S6_SSA,S7_CHS,S8_BSA,automation_degree,auto_step_instances,delivery_days,cars_per_day,interarrival_time,schedule_file,system_file,hd_file,tl_file,sa_file,rd_file,opening_hour,closing_hour,num_weeks,IND01,IND02,IND03,IND04,IND05,IND06,IND01_in_threshold,IND02_in_threshold,IND03_in_threshold,IND04_in_threshold,IND05_in_threshold,IND06_in_threshold,threshold_violations,is_feasible,IND01_normalized,IND02_normalized,IND03_normalized,IND04_normalized,IND05_normalized,IND06_normalized,IND01_weighted,IND02_weighted,IND03_weighted,IND04_weighted,IND05_weighted,IND06_weighted,economic_score,environmental_score,total_weighted_score,rank_all,rank
exp004,system_01,line,labor,3,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_01.json,car_hd_a06.json,,,,7,17,1,49.42,46.85,6493.19,1105.0,1286960,50116.0,True,True,True,True,True,True,0,True,0.4,0.57,0.41,0.79,1.0,1.0,0.0664,0.0946,0.0681,0.1311,0.166,0.166,0.4598,0.2324,0.6922,1,1
exp012,system_02,workshop,quantity,4,hd,a06,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,2,2,2,2,0.71,400,5,8,1.0,sch_hd_a06.json,system_02.json,car_hd_a06.json,,,,7,17,1,47.2,33.55,6199.6,392.32,1286960,50116.0,True,True,True,True,True,True,0,True,0.45,0.12,0.47,0.97,1.0,1.0,0.0747,0.0199,0.078,0.161,0.166,0.166,0.4249,0.2407,0.6656,2,2
exp003,system_01,line,labor,3,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_01.json,car_hd_a04.json,,,,7,17,1,56.14,53.09,7358.12,1567.68,1286960,50116.0,True,True,True,True,True,True,0,True,0.23,0.78,0.26,0.67,1.0,1.0,0.0382,0.1295,0.0432,0.1112,0.166,0.166,0.4499,0.2042,0.6541,3,3
exp011,system_02,workshop,quantity,4,hd,a04,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,2,1,2,0.57,320,5,8,1.0,sch_hd_a04.json,system_02.json,car_hd_a04.json,,,,7,17,1,52.4,37.14,6864.0,407.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.32,0.24,0.35,0.96,1.0,1.0,0.0531,0.0398,0.0581,0.1594,0.166,0.166,0.4233,0.2191,0.6424,4,4
exp010,system_02,workshop,quantity,4,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_02.json,car_hd_a02.json,,,,7,17,1,58.8,42.24,7805.6,420.3,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.41,0.18,0.96,1.0,1.0,0.0282,0.0681,0.0299,0.1594,0.166,0.166,0.4234,0.1942,0.6176,6,5
exp036,system_01,line,labor,3,front,a06,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,2,2,2,2,0.64,310,5,8,1.0,sch_front_a06.json,system_01.json,car_hd_a06.json,car_tl_a06.json,,,7,17,1,38.65,36.81,5100.7,615.48,1012520,39024.7,True,True,True,True,True,True,0,True,0.66,0.23,0.66,0.91,0.58,0.6,0.1096,0.0382,0.1096,0.1511,0.0963,0.0996,0.3952,0.2092,0.6044,7,6
exp002,system_01,line,labor,3,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_01.json,car_hd_a02.json,,,,7,17,1,56.37,53.98,7482.42,2163.22,1229725,47885.72,True,True,True,True,True,True,0,True,0.23,0.81,0.24,0.52,0.91,0.92,0.0382,0.1345,0.0398,0.0863,0.1511,0.1527,0.4117,0.1909,0.6026,8,7
exp009,system_02,workshop,quantity,4,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_02.json,car_hd_a00.json,,,,7,17,1,63.6,46.0,8500.8,422.05,1286960,50116.0,True,True,True,True,True,True,0,True,0.05,0.54,0.05,0.96,1.0,1.0,0.0083,0.0896,0.0083,0.1594,0.166,0.166,0.4233,0.1743,0.5976,10,8
exp035,system_01,line,labor,3,front,a04,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,2,1,2,0.54,260,5,8,1.0,sch_front_a04.json,system_01.json,car_hd_a04.json,car_tl_a04.json,,,7,17,1,41.9,39.8,5515.95,649.95,1012520,39024.7,True,True,True,True,True,True,0,True,0.58,0.33,0.59,0.9,0.58,0.6,0.0963,0.0548,0.0979,0.1494,0.0963,0.0996,0.3984,0.1959,0.5943,11,9
exp001,system_01,line,labor,3,hd,a00,40,0,0,0,40,14,9,7,5,560,1.0,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_hd_a00.json,system_01.json,car_hd_a00.json,,,,7,17,1,61.74,59.54,8252.64,2262.02,1229360,47883.28,True,True,True,True,True,True,0,True,0.1,1.0,0.1,0.5,0.91,0.92,0.0166,0.166,0.0166,0.083,0.1511,0.1527,0.4167,0.1693,0.586,12,10
exp034,system_01,line,labor,3,front,a02,25,15,0,0,40,14,9,7,5,485,0.87,1,1,2,2,1,1,1,1,0.33,160,5,8,1.0,sch_front_a02.json,system_01.json,car_hd_a02.json,car_tl_a02.json,,,7,17,1,45.9,44.05,6104.45,742.58,1012520,39024.7,True,True,True,True,True,True,0,True,0.48,0.48,0.48,0.88,0.58,0.6,0.0797,0.0797,0.0797,0.1461,0.0963,0.0996,0.4018,0.1793,0.5811,13,11
exp026,system_05,workshop,quantity,5,hd,a02,40,0,0,0,40,14,9,7,5,560,1.0,1,1,2,2,1,1,1,1,0.29,160,5,8,1.0,sch_hd_a02.json,system_05.json,car_hd_a02.json,,,,7,17,1,58.8,33.79,7805.6,418.85,1286960,50116.0,True,True,True,True,True,True,0,True,0.17,0.13,0.18,0.96,1.0,1.0,0.0282,0.0216,0.0299,0.1594,0.166,0.166,0.3769,0.1942,0.5711,15,12
