exp_id,system,product_mix,automation_level,station_id,runtime_minutes,waiting_time_minutes,closed_time_minutes,total_simulation_time_minutes,factory_open_time_minutes,utilization_rate_running,utilization_rate_waiting,utilization_rate_closed
exp016,system_02,balanced,a06,ws-01_S1toS8,738,3462,5880,10080,4200,7.32,34.35,58.33
exp016,system_02,balanced,a06,ws-02_S1toS8,1060,3140,5880,10080,4200,10.52,31.15,58.33
exp016,system_02,balanced,a06,ws-03_S1toS8,901,3299,5880,10080,4200,8.94,32.73,58.33
exp016,system_02,balanced,a06,ws-04_S1toS8,921,3279,5880,10080,4200,9.14,32.53,58.33
exp017,system_03,hd,a00,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp017,system_03,hd,a00,ws-02_S3S4,1896,2304,5880,10080,4200,18.81,22.86,58.33
exp017,system_03,hd,a00,ws-03_S5,944,3256,5880,10080,4200,9.37,32.3,58.33
exp017,system_03,hd,a00,ws-04_S7,832,3368,5880,10080,4200,8.25,33.41,58.33
exp017,system_03,hd,a00,ws-05_S6S8,3340,860,5880,10080,4200,33.13,8.53,58.33
exp018,system_03,hd,a02,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp018,system_03,hd,a02,ws-02_S3S4,1264,2936,5880,10080,4200,12.54,29.13,58.33
exp018,system_03,hd,a02,ws-03_S5,1214,2986,5880,10080,4200,12.04,29.62,58.33
exp018,system_03,hd,a02,ws-04_S7,832,3368,5880,10080,4200,8.25,33.41,58.33
exp018,system_03,hd,a02,ws-05_S6S8,3059,1141,5880,10080,4200,30.35,11.32,58.33
exp019,system_03,hd,a04,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp019,system_03,hd,a04,ws-02_S3S4,1264,2936,5880,10080,4200,12.54,29.13,58.33
exp019,system_03,hd,a04,ws-03_S5,944,3256,5880,10080,4200,9.37,32.3,58.33
exp019,system_03,hd,a04,ws-04_S7,832,3368,5880,10080,4200,8.25,33.41,58.33
exp019,system_03,hd,a04,ws-05_S6S8,2638,1562,5880,10080,4200,26.17,15.5,58.33
exp020,system_03,hd,a06,ws-01_S1S2,984,3216,5880,10080,4200,9.76,31.9,58.33
exp020,system_03,hd,a06,ws-02_S3S4,1264,2936,5880,10080,4200,12.54,29.13,58.33
exp020,system_03,hd,a06,ws-03_S5,652,3548,5880,10080,4200,6.47,35.2,58.33
exp020,system_03,hd,a06,ws-04_S7,520,3680,5880,10080,4200,5.16,36.51,58.33
exp020,system_03,hd,a06,ws-05_S6S8,2624,1576,5880,10080,4200,26.03,15.63,58.33
exp021,system_03,balanced,a00,ws-01_S1S2,668,3532,5880,10080,4200,6.63,35.04,58.33
exp021,system_03,balanced,a00,ws-02_S3S4,1647,2553,5880,10080,4200,16.34,25.33,58.33
exp021,system_03,balanced,a00,ws-03_S5,236,3964,5880,10080,4200,2.34,39.33,58.33
exp021,system_03,balanced,a00,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp021,system_03,balanced,a00,ws-05_S6S8,1866,2334,5880,10080,4200,18.51,23.15,58.33
exp022,system_03,balanced,a02,ws-01_S1S2,668,3532,5880,10080,4200,6.63,35.04,58.33
exp022,system_03,balanced,a02,ws-02_S3S4,1145,3055,5880,10080,4200,11.36,30.31,58.33
exp022,system_03,balanced,a02,ws-03_S5,236,3964,5880,10080,4200,2.34,39.33,58.33
exp022,system_03,balanced,a02,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp022,system_03,balanced,a02,ws-05_S6S8,1866,2334,5880,10080,4200,18.51,23.15,58.33
exp023,system_03,balanced,a04,ws-01_S1S2,668,3532,5880,10080,4200,6.63,35.04,58.33
exp023,system_03,balanced,a04,ws-02_S3S4,1145,3055,5880,10080,4200,11.36,30.31,58.33
exp023,system_03,balanced,a04,ws-03_S5,236,3964,5880,10080,4200,2.34,39.33,58.33
exp023,system_03,balanced,a04,ws-04_S7,416,3784,5880,10080,4200,4.13,37.54,58.33
exp023,system_03,balanced,a04,ws-05_S6S8,1384,2816,5880,10080,4200,13.73,27.94,58.33
exp024,system_03,balanced,a06,ws-01_S1S2,668,3532,5880,10080,4200,6.63,35.04,58.33
exp024,system_03,balanced,a06,ws-02_S3S4,1145,3055,5880,10080,4200,11.36,30.31,58.33
exp024,system_03,balanced,a06,ws-03_S5,163,4037,5880,10080,4200,1.62,40.05,58.33
exp024,system_03,balanced,a06,ws-04_S7,260,3940,5880,10080,4200,2.58,39.09,58.33
exp024,system_03,balanced,a06,ws-05_S6S8,1384,2816,5880,10080,4200,13.73,27.94,58.33
exp025,system_05,hd,a00,ws-01_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp025,system_05,hd,a00,ws-02_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp025,system_05,hd,a00,ws-03_S1toS8,1932,2268,5880,10080,4200,19.17,22.5,58.33
exp025,system_05,hd,a00,ws-04_S1toS8,966,3234,5880,10080,4200,9.58,32.08,58.33
exp025,system_05,hd,a00,ws-05_S1toS8,966,3234,5880,10080,4200,9.58,32.08,58.33
exp026,system_05,hd,a02,ws-01_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp026,system_05,hd,a02,ws-02_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp026,system_05,hd,a02,ws-03_S1toS8,1774,2426,5880,10080,4200,17.6,24.07,58.33
exp026,system_05,hd,a02,ws-04_S1toS8,887,3313,5880,10080,4200,8.8,32.87,58.33
exp026,system_05,hd,a02,ws-05_S1toS8,887,3313,5880,10080,4200,8.8,32.87,58.33
exp027,system_05,hd,a04,ws-01_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp027,system_05,hd,a04,ws-02_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp027,system_05,hd,a04,ws-03_S1toS8,1560,2640,5880,10080,4200,15.48,26.19,58.33
exp027,system_05,hd,a04,ws-04_S1toS8,780,3420,5880,10080,4200,7.74,33.93,58.33
exp027,system_05,hd,a04,ws-05_S1toS8,780,3420,5880,10080,4200,7.74,33.93,58.33
exp028,system_05,hd,a06,ws-01_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp028,system_05,hd,a06,ws-02_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp028,system_05,hd,a06,ws-03_S1toS8,1409,2791,5880,10080,4200,13.98,27.69,58.33
exp028,system_05,hd,a06,ws-04_S1toS8,704,3496,5880,10080,4200,6.98,34.68,58.33
exp028,system_05,hd,a06,ws-05_S1toS8,704,3496,5880,10080,4200,6.98,34.68,58.33
exp029,system_05,balanced,a00,ws-01_S1toS8,1232,2968,5880,10080,4200,12.22,29.44,58.33
exp029,system_05,balanced,a00,ws-02_S1toS8,1206,2994,5880,10080,4200,11.96,29.7,58.33
exp029,system_05,balanced,a00,ws-03_S1toS8,1301,2899,5880,10080,4200,12.91,28.76,58.33
exp029,system_05,balanced,a00,ws-04_S1toS8,577,3623,5880,10080,4200,5.72,35.94,58.33
exp029,system_05,balanced,a00,ws-05_S1toS8,516,3684,5880,10080,4200,5.12,36.55,58.33
exp030,system_05,balanced,a02,ws-01_S1toS8,1100,3100,5880,10080,4200,10.91,30.75,58.33
exp030,system_05,balanced,a02,ws-02_S1toS8,1100,3100,5880,10080,4200,10.91,30.75,58.33
exp030,system_05,balanced,a02,ws-03_S1toS8,1169,3031,5880,10080,4200,11.6,30.07,58.33
exp030,system_05,balanced,a02,ws-04_S1toS8,524,3676,5880,10080,4200,5.2,36.47,58.33
exp030,system_05,balanced,a02,ws-05_S1toS8,438,3762,5880,10080,4200,4.35,37.32,58.33
exp031,system_05,balanced,a04,ws-01_S1toS8,982,3218,5880,10080,4200,9.74,31.92,58.33
exp031,system_05,balanced,a04,ws-02_S1toS8,972,3228,5880,10080,4200,9.64,32.02,58.33
exp031,system_05,balanced,a04,ws-03_S1toS8,1051,3149,5880,10080,4200,10.43,31.24,58.33
exp031,system_05,balanced,a04,ws-04_S1toS8,471,3729,5880,10080,4200,4.67,36.99,58.33
exp031,system_05,balanced,a04,ws-05_S1toS8,373,3827,5880,10080,4200,3.7,37.97,58.33
exp032,system_05,balanced,a06,ws-01_S1toS8,921,3279,5880,10080,4200,9.14,32.53,58.33
exp032,system_05,balanced,a06,ws-02_S1toS8,910,3290,5880,10080,4200,9.03,32.64,58.33
exp032,system_05,balanced,a06,ws-03_S1toS8,975,3225,5880,10080,4200,9.67,31.99,58.33
exp032,system_05,balanced,a06,ws-04_S1toS8,440,3760,5880,10080,4200,4.37,37.3,58.33
exp032,system_05,balanced,a06,ws-05_S1toS8,373,3827,5880,10080,4200,3.7,37.97,58.33
exp033,system_01,front,a00,ws-03_S1toS4,2972,1228,5880,10080,4200,29.48,12.18,58.33
exp033,system_01,front,a00,ws-04_S5S7,754,3446,5880,10080,4200,7.48,34.19,58.33
exp033,system_01,front,a00,ws-05_S6S8,2710,1490,5880,10080,4200,26.88,14.78,58.33
exp034,system_01,front,a02,ws-03_S1toS4,2250,1950,5880,10080,4200,22.32,19.35,58.33
exp034,system_01,front,a02,ws-04_S5S7,590,3610,5880,10080,4200,5.85,35.81,58.33
exp034,system_01,front,a02,ws-05_S6S8,2710,1490,5880,10080,4200,26.88,14.78,58.33
exp035,system_01,front,a04,ws-03_S1toS4,2250,1950,5880,10080,4200,22.32,19.35,58.33
exp035,system_01,front,a04,ws-04_S5S7,590,3610,5880,10080,4200,5.85,35.81,58.33
exp035,system_01,front,a04,ws-05_S6S8,2175,2025,5880,10080,4200,21.58,20.09,58.33
exp036,system_01,front,a06,ws-03_S1toS4,2250,1950,5880,10080,4200,22.32,19.35,58.33
