exp_id,system,system_type,division_type,num_stations,product_mix,automation_level,hd_count,tl_count,sa_count,rd_count,total_cars,hd_depth,tl_depth,sa_depth,rd_depth,total_planned_components,depth_degree,S1_BOSP,S2_BAT,S3_RT,S4_FT,S5_FAXS,S6_SSA,S7_CHS,S8_BSA,automation_degree,auto_step_instances,delivery_days,cars_per_day,interarrival_time,schedule_file,system_file,hd_file,tl_file,sa_file,rd_file,opening_hour,closing_hour,num_weeks,IND01,IND02,IND03,IND04,IND05,IND06,IND01_in_threshold,IND02_in_threshold,IND03_in_threshold,IND04_in_threshold,IND05_in_threshold,IND06_in_threshold,threshold_violations,is_feasible,IND01_normalized,IND02_normalized,IND03_normalized,IND04_normalized,IND05_normalized,IND06_normalized
exp086,system_02,workshop,quantity,4,sa_rd,a02,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,1,1,1,0.46,140,5,8,1.0,sch_sa_rd_a02.json,system_02.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.15,25.26,4670.05,296.7,721210,26089.1,True,False,True,True,True,True,1,False,0.74,-0.16,0.74,0.99,0.14,0.12
exp087,system_02,workshop,quantity,4,sa_rd,a04,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,2,1,2,0.72,220,5,8,1.0,sch_sa_rd_a04.json,system_02.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,30.75,21.77,4022.15,287.98,721210,26089.1,True,False,True,True,True,True,1,False,0.85,-0.28,0.86,0.99,0.14,0.12
exp088,system_02,workshop,quantity,4,sa_rd,a06,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,2,2,2,2,0.75,230,5,8,1.0,sch_sa_rd_a06.json,system_02.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,29.5,20.85,3853.3,286.27,721210,26089.1,True,False,True,True,True,True,1,False,0.88,-0.31,0.89,0.99,0.14,0.12
exp089,system_03,line,labor,5,sa_rd,a00,5,5,20,10,40,14,9,7,5,305,0.54,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_sa_rd_a00.json,system_03.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,38.95,22.61,5222.25,545.52,721210,26089.1,True,False,True,True,True,True,1,False,0.65,-0.25,0.64,0.93,0.14,0.12
exp090,system_03,line,labor,5,sa_rd,a02,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,1,1,1,0.46,140,5,8,1.0,sch_sa_rd_a02.json,system_03.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.15,20.22,4670.05,507.15,721210,26089.1,True,False,True,True,True,True,1,False,0.74,-0.33,0.74,0.94,0.14,0.12
exp091,system_03,line,labor,5,sa_rd,a04,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,2,1,2,0.72,220,5,8,1.0,sch_sa_rd_a04.json,system_03.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,30.75,17.41,4022.15,375.48,721210,26089.1,True,False,True,True,True,True,1,False,0.85,-0.43,0.86,0.97,0.14,0.12
exp092,system_03,line,labor,5,sa_rd,a06,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,2,2,2,2,0.75,230,5,8,1.0,sch_sa_rd_a06.json,system_03.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,29.5,16.68,3853.3,375.35,721210,26089.1,True,False,True,True,True,True,1,False,0.88,-0.45,0.89,0.97,0.14,0.12
exp093,system_05,workshop,quantity,5,sa_rd,a00,5,5,20,10,40,14,9,7,5,305,0.54,1,1,1,1,1,1,1,1,0.0,0,5,8,1.0,sch_sa_rd_a00.json,system_05.json,car_hd_a00.json,car_tl_a00.json,car_sa_a00.json,car_rd_a00.json,7,17,1,38.95,22.61,5222.25,300.98,721210,26089.1,True,False,True,True,True,True,1,False,0.65,-0.25,0.64,0.99,0.14,0.12
exp094,system_05,workshop,quantity,5,sa_rd,a02,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,1,1,1,0.46,140,5,8,1.0,sch_sa_rd_a02.json,system_05.json,car_hd_a02.json,car_tl_a02.json,car_sa_a02.json,car_rd_a02.json,7,17,1,35.15,20.21,4670.05,291.05,721210,26089.1,True,False,True,True,True,True,1,False,0.74,-0.33,0.74,0.99,0.14,0.12
exp095,system_05,workshop,quantity,5,sa_rd,a04,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,1,2,1,2,0.72,220,5,8,1.0,sch_sa_rd_a04.json,system_05.json,car_hd_a04.json,car_tl_a04.json,car_sa_a04.json,car_rd_a04.json,7,17,1,30.75,17.41,4022.15,281.38,721210,26089.1,True,False,True,True,True,True,1,False,0.85,-0.43,0.86,0.99,0.14,0.12
exp096,system_05,workshop,quantity,5,sa_rd,a06,5,5,20,10,40,14,9,7,5,305,0.54,1,1,2,2,2,2,2,2,0.75,230,5,8,1.0,sch_sa_rd_a06.json,system_05.json,car_hd_a06.json,car_tl_a06.json,car_sa_a06.json,car_rd_a06.json,7,17,1,29.5,16.68,3853.3,281.23,721210,26089.1,True,False,True,True,True,True,1,False,0.88,-0.45,0.89,0.99,0.14,0.12
